campagne_dexportation_des_fruits_2023,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12,unnamed_13,unnamed_14,unnamed_15,unnamed_16,unnamed_17,unnamed_18,unnamed_19,unnamed_20,unnamed_21,unnamed_22,unnamed_23,unnamed_24,unnamed_25,unnamed_26,feuille
,,,,,,,,,,,,,,,,,,,,,,,,,,,Feuil1
Quantité des Fruits exportée le 02/11/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,Feuil1
PRODUIT       PAYS,F_Bar,Grenade,Poire,Pomme,Total,,,,,,,,,,,,,,,,,,,,,,Feuil1
Libye,,400,0.5,0.5,401,,,,,,,,,,,,,,,,,,,,,,Feuil1
EAU,1.153,,,,1.153,,,,,,,,,,,,,,,,,,,,,,Feuil1
France,,0.75,,,0.75,,,,,,,,,,,,,,,,,,,,,,Feuil1
Total,1.153,400.75,0.5,0.5,402.903,,,,,,,,,,,,,,,,,,,,,,Feuil1
Cumul Exportation Fruits du 01/01/2023 au 03/11/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,Feuil1
PRODUIT      PAYS,Peche,Grenade,Pasteque,Prune,Abricot,Raisin,Poire,F_Bar,Fraise,Amande,Nefle,Figue,Melon,Nectarine,carob,Pomme,Grenade A.U.I,Pistache,Cerise,Myrtilles,Framboise,kaki,2023,,2022,,Feuil1
,,,,,,,,,,,,,,,,,,,,,,,Qté (T),Valeur,Qté (T),Valeur,Feuil1
Libye,9193.280999999999,5838.204,923,4137.5,3423.101,1172,994.5,743.5,,674,689.3,337.5,3,4.8,,67.5,,,20,,,,28221.185999999998,98232.891,53152.16999999999,116336.051,Feuil1
Italie,41.003,3.585,4294.470000000001,,,,,0.704,,1.78,,,207.26999999999998,45.910999999999994,180,,24.799999999999997,22,,,,,4821.523000000001,10282.784999999994,6114.684999999997,14247.579999999994,Feuil1
EAU,241.03200000000012,0.995,2.8200000000000003,5.732000000000001,26.93,,,44.599999999999994,346.3080000000001,,,35.244000000000014,0.24,67.20900000000002,,,,,,1.08,1.68,,773.8700000000003,11496.655,813.8859999999999,10063.851000000002,Feuil1
Hollande,96.173,23.049,166.118,15.985,4.914,8.693999999999999,,23.14,,,,,39.2,35.696,,,,,,,,,412.969,1322.377,235.9,475.26200000000006,Feuil1
