annee,cultures_maraicheres_estivale,superficie_programme_ha,superficie_realise_ha,production_tonne,feuille
2024,pomme_de_terre,10,0,90,الخضروات
2024,tomates_de_saison,33,46,2540,الخضروات
2024,tomate_tardives,5,0,0,الخضروات
2024,poivron,42,28,660,الخضروات
2024,pasteque,22,16,885,الخضروات
2024,melon,22,9,280,الخضروات
2024,concombre,25,10,350,الخضروات
2024,courage,18,7,190,الخضروات
2024,oignon_ete,25,7,230,الخضروات
2024,arachide,0,0,0,الخضروات
2024,aubergine,5,0,0,الخضروات
2024,persil,10,6,58,الخضروات
2024,blette,12,6,60,الخضروات
2024,celeri,10,6,50,الخضروات
2024,epinards,12,10,65,الخضروات
2024,laitue,45,7,150,الخضروات
2024,coing,8,0,0,الخضروات
2024,gombo,2,0,0,الخضروات
2024,menthe_melis,22,20,200,الخضروات
