gouvernorat,plantation_des_oliviers_et_damandiers_au_titre_de_2020_ha,feuille
Béja,275.0,Feuil1
Jendouba,162.5,Feuil1
Kef,360.0,Feuil1
Siliana,355.0,Feuil1
Bizerte,160.0,Feuil1
Total,1312.5,Feuil1
