delegation,nb_oliviers_en_production,production_finale_en_tonne,production_pluviale_en_tonne,production_irriguee_en_tonne,nb_huileries_actifs,quantites_olives_transferees_en_tonne,production_huile_en_tonne,feuille
جرجيس,605000,30250,30000,250,33,10000,650,Feuil1
بنقر دان,505000,23250,23000,250,16,5750,450,Feuil1
سيدي مخلوف,245000,11000,10000,1000,3,2000,150,Feuil1
مدنين الشمالية,55000,1750,1500,250,4,1500,100,Feuil1
مدنين الجنوبية,145000,5750,3500,2250,7,6250,350,Feuil1
بني خداش,52500,1700,1575,125,6,1500,50,Feuil1
أجيم,50500,1675,1650,25,6,1500,50,Feuil1
حومة السوق,102500,2325,2200,125,8,1750,100,Feuil1
ميدون,89500,2300,1575,725,2,1750,100,Feuil1
