delegation,nb_oliviers_en_production,production_en_tonne,production_pluviale_en_tonne,production_irriguee_en_tonne,production_huile_en_tonne,feuille
جرجيس,310000,4750,4500,250,950,Feuil1
بنقر دان,85000,1000,750,250,200,Feuil1
سيدي مخلوف,125000,2000,1000,1000,400,Feuil1
مدنين الشمالية,26000,350,200,150,70,Feuil1
مدنين الجنوبية,100000,2750,500,2250,550,Feuil1
بني خداش,30000,375,250,125,75,Feuil1
أجيم,21000,225,200,25,45,Feuil1
حومة السوق,46000,550,400,150,110,Feuil1
ميدون,32000,500,200,300,100,Feuil1
