delegation,nb_oliviers_en_production,production_finale_en_tonne,production_pluviale_en_tonne,production_irriguee_en_tonne,nb_huileries_actifs,quantites_olives_transferees_en_tonne,huile_extravierge_en_tonne,huile_lampante_en_tonne,feuille
جرجيس,1005000,50500,50250,250,51,27500,650,5950,Feuil1
بنقر دان,905000,46000,45750,250,18,16500,450,3550,Feuil1
سيدي مخلوف,455000,22250,21000,1250,8,9000,150,2000,Feuil1
مدنين الشمالية,145000,7500,7200,300,5,4500,100,1000,Feuil1
مدنين الجنوبية,265000,14250,11000,3250,11,13500,350,2900,Feuil1
بني خداش,152500,4000,3900,100,10,2000,50,425,Feuil1
أجيم,100000,3000,3000,0,5,2500,50,550,Feuil1
حومة السوق,127500,4000,3900,100,10,3500,100,750,Feuil1
ميدون,95000,3500,3000,500,2,3000,100,625,Feuil1
