annee,ann_2001,ann_2002,ann_2003,ann_2004,ann_2005,ann_2006,ann_2007,ann_2008,ann_2009,ann_2010,ann_2011,ann_2012,ann_2013,ann_2014,ann_2015,ann_2016,ann_2017,ann_2018,ann_2019,feuille
janvier,343.55281148402753,295.3320930684475,287.11762477428675,385.8477238720804,284.93985706951867,,345.02779903311296,559.1962637111133,,,,,,,,,,0.0,0.0,Mat 1ère
fevrier,324.12059999999997,287.87843685844774,292.1085210444582,413.2015104166667,299.595,348.306,339.52,603.4327403438606,,,,615.411,,,,725.826,828.0,0.0,0.0,Mat 1ère
mars,336.70528574127366,290.264154861237,291.3191366933249,453.7477935943061,306.7913299989282,311.55,390.3894644828402,553.0234999999999,510.73394018211695,,,,,960.84,,679.226,903.0,1250.4,0.0,Mat 1ère
avril,315.1175987220447,290.4243756585791,284.445172249661,432.0346552856205,334.2416284858262,306.301,372.6319889250751,556.9941350819767,,,,,,963.705,,,,0.0,0.0,Mat 1ère
mai,282.8368429096685,284.56753482697184,295.68,482.0941018766756,334.8167863593331,316.98,354.9772292098978,546.8397827479499,578.2122020358586,,590.6011086763331,,,969.638,,690.021,907.0,1211.2,0.0,Mat 1ère
juin,294.8858557146717,301.1695066286388,274.1184659733936,458.20922402455056,369.0,304.922,340.0,516.3847569700497,667.2,,574.7219989739826,,999.276,836.617,763.158,816.809,925.0,0.0,0.0,Mat 1ère
juillet,308.20595507117713,298.2559057289485,285.7487937736331,438.876,349.69169196428567,311.071,414.38379084045425,,698.8370992333333,564.68,583.7295995618427,,975.637,999.028,,,,0.0,0.0,Mat 1ère
aout,302.3932430397397,302.83083164396425,289.40499931904765,403.48140684410646,325.6720267272727,308.022,394.47040005873725,586.334548339872,623.1,598.0151267990205,,904.825,955.181,,,955.206,,1094.2,0.0,Mat 1ère
septembre,305.62004147569314,294.06676361137465,324.34483947987223,360.775,347.02654933729565,316.8,392.9174455164907,586.335,,595.2553503101977,,1067.117,,,796.853,901.246,,0.0,0.0,Mat 1ère
octobre,305.10157548389003,310.28571003988606,314.92060897059207,304.4,332.3441021845099,331.17,465.65290053950287,574.9925007020066,,,,1034.414,,,767.005,866.189,,0.0,1093.3,Mat 1ère
novembre,304.0153433334034,294.74553384850304,371.95519999999993,298.77,321.33674720000005,351.168,481.23268790772653,562.1795,,,,949.896,,1012.608,772.209,,,0.0,1092.6,Mat 1ère
decembre,322.81440625,282.3761348160704,351.4368618356308,,,,,528.7711493328645,636.7103653520036,,,,,977.664,,,,0.0,1093.5,Mat 1ère
