unnamed_0,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12,unnamed_13,unnamed_14,unnamed_15,unnamed_16,unnamed_17,unnamed_18,unnamed_19,unnamed_20,unnamed_21,unnamed_22,unnamed_23,unnamed_24,feuille
توزيع قيمة المنح والإستثمارات من صنف أ وعدد عمليات الإستثمار حسب الانشطة و المعتمديات,,,,,,,,,,,,,,,,,,,,,,,القروض والإستثمارات
,,,,,,,,,,,,,,,,,,,,,,,القروض والإستثمارات
معتمدية,الري الفلاحي,,,بناءات ريفية,تربية الماشية,,,معدات فلاحية,,,تنمية زراعة الأشجار,,,مقاومة الانجراف,,,صيد بحري,,,,,,القروض والإستثمارات
,عمليات استثمار,منحة,الإستثمار,عمليات استثمار,عمليات استثمار,منحة,الإستثمار,عمليات استثمار,منحة,الإستثمار,عمليات استثمار,منحة,الإستثمار,عمليات استثمار,منحة,الإستثمار,عمليات استثمار,منحة,الإستثمار,,,,القروض والإستثمارات
صفاقس المدينة,,,,,,,,,,,,,,,,,2,2.227,4.05,2.0,2.227,4.05,القروض والإستثمارات
صفاقس الغربية,,,,,,,,,,,,,,,,,1,1.134,3.779,1.0,1.134,3.779,القروض والإستثمارات
س الزيت,,,,,,,,1,2.365,4.300,,,,,,,,,,1.0,2.365,4.3,القروض والإستثمارات
س الداير,6,13.793,33.191,1,,,,2,15.827,28.776,,,,,,,7,17.998,55.393,16.0,49.279,122.896,القروض والإستثمارات
صفاقس الجنوبية,,,,,,,,,,,2,0.333,1.11,1,4.675,8.5,,,,3.0,5.008,9.61,القروض والإستثمارات
طينة,,,,,,,,,,,,,,,,,1,1.104,3.679,1.0,1.104,3.679,القروض والإستثمارات
عقارب,10,27.807,84.627,,,,,4,16.332,30.065,1,0.591,1.971,7,25.874,47.043,,,,22.0,70.604,163.706,القروض والإستثمارات
جبنيانة,,,,,2,1.293,2.35,1,27.967,50.849,,,,,,,4,9.529,31.765,7.0,38.789,84.964,القروض والإستثمارات
العامرة,,,,,,,,,,,,,,,,,2,3.204,10.679,2.0,3.204,10.679,القروض والإستثمارات
الحنشة,5,7.812,24.059,,,,,,,,,,,,,,,,,5.0,7.812,24.059,القروض والإستثمارات
م شاكر,1,1.65,3,,1,6.6,12,1,28.782,52.330,2,0.915,3.05,2,3.796,6.902,,,,7.0,41.743,77.282,القروض والإستثمارات
الغريبة,,,,,,,,2,8.442,15.350,,,,,,,1,1.104,3.68,3.0,9.546,19.03,القروض والإستثمارات
بئر علي,6,15.691,47.911,,,,,1,3.025,5.500,,,,,,,,,,7.0,18.716,53.411,القروض والإستثمارات
الصخيرة,8,20.531,66.76,,,,,1,28.352,51.550,1,0.12,0.4,,,,1,3.519,6.4,11.0,52.522,125.11,القروض والإستثمارات
المحرس,,,,,,,,1,0.024,0.080,,,,,,,4,10.064,33.547,5.0,10.088,33.627,القروض والإستثمارات
قرقنة,,,,,1,7.8,26,,,,,,,,,,105,175.67,565.716,106.0,183.47,591.716,القروض والإستثمارات
الجملة,36,87.284,259.548,1,4,15.693,40.35,14,131.116,238.80,6,1.959,6.531,10,34.345,62.445,128,225.553,718.688,199.0,497.611,1331.898,القروض والإستثمارات
