annee,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,feuille
Manouba,,,,,,,,,120,120,200,210,220,210,230,240,270,Feuil1
Bizerte,2760.0,2370.0,2150.0,2170.0,2600.0,2200.0,2500.0,990.0,1380,1380,1120,1210,1390,1310,1640,1520,1620,Feuil1
Nabeul,3450.0,3700.0,4300.0,3800.0,4180.0,4150.0,4100.0,3700.0,3210,3210,3010,3520,3950,3650,3610,3720,3730,Feuil1
Béja,,,,,,,,500.0,390,390,490,280,400,360,400,430,350,Feuil1
Jendouba,760.0,520.0,660.0,360.0,830.0,640.0,890.0,1040.0,810,810,960,400,740,750,680,590,820,Feuil1
Sousse,510.0,310.0,340.0,520.0,660.0,770.0,720.0,530.0,520,520,280,370,450,690,560,410,430,Feuil1
Monastir,,,,,,,,270.0,350,350,340,580,460,670,740,330,320,Feuil1
Kairouan,,,,,,,,340.0,580,580,440,470,590,660,670,500,590,Feuil1
Kasserine,,,,,,,,490.0,490,490,720,810,640,630,630,520,500,Feuil1
