num,اسم_الشركة,الموقع,المساحة_هك,feuille
1,شواط,الجديدة,551,شركات الإحياء الغير مسندة
2,سيدي علي الحطاب,المرناقية,832,شركات الإحياء الغير مسندة
3,المهرين,البطان,169,شركات الإحياء الغير مسندة
4,مورانا,منوبة,140,شركات الإحياء الغير مسندة
5,الملاحة,طبربة,348,شركات الإحياء الغير مسندة
6,برج التوتة 2,طبربة,259,شركات الإحياء الغير مسندة
