annee,superficies_irriguees_ha,subventions_accorders_dt,agriculteurs_beneficiaires,feuille
2009,373.8,304.74,,Feuil1
2010,416.0,353.0,,Feuil1
2011,265.0,290.0,,Feuil1
2012,180.0,195.3,,Feuil1
2013,98.0,93.0,,Feuil1
2014,142.0,107.0,,Feuil1
2015,241.0,221.0,,Feuil1
2016,151.0,216.0,,Feuil1
2017,194.0,279.0,,Feuil1
2018,479.0,646.0,,Feuil1
2019,367.0,656.0,,Feuil1
2020,320.0,658.0,,Feuil1
2021,365.0,768.0,,Feuil1
2022,147.0,274.0,,Feuil1
2023,176.0,346.0,33.0,Feuil1
2024,230.0,437.0,56.0,Feuil1
