annee,tropeaux_cibles,maladie_epidemique,nembre_cheptel,nembre_tropeaux_cible,janvier,fevrier,mars,avril,mai,juin,juiller,aout,septombre,octobre,nevembre,decembre,feuille
2024,vaches,Fievre aphteuse,5935,5720.0,,312.0,2197.0,1324.0,966.0,6.0,176.0,,386.0,80.0,,,Feuil1
2024,Ovins et caprins,Fievre aphteuse,90311,68682.0,,1690.0,25831.0,27618.0,9701.0,3808.0,358.0,,4550.0,83.0,,,Feuil1
2024,Bovins importes,Fievre aphteuse,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feuil1
2024,Ovins,variole,62000,56902.0,,1426.0,,23146.0,8525.0,2814.0,277.0,,3392.0,,,,Feuil1
2024,Ovins,langue bleue,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feuil1
2024,chiens et chats,Rage,10000,9997.0,1907.0,659.0,,209.0,332.0,170.0,73.0,1116.0,2041.0,1502.0,362.0,57.0,Feuil1
2024,vaches,Avortement enzootique,0,0.0,,,,,,,,,,,,,Feuil1
2024,Ovins et caprins,Fievre charbonneuse,15000,319.0,,,,,,,,,,,,,Feuil1
2024,Bovins,tuberculose bovinne,0,,,,,,,,,,,,,,Feuil1
2024,Ovins et caprins,tuberculose caprine,72102,25726.0,,,,,,,,,,,,,Feuil1
2024,Abeilles,Nosemose,0,0.0,,,,,,,,,,,,,Feuil1
2024,lapin,Teniasis,0,0.0,,,,,,,,,,,,,Feuil1
2025,vaches,Fievre aphteuse,6500,4720.0,26.0,,201.0,113.0,2419.0,1408.0,776.0,748.0,296.0,41.0,8.0,903.0,Feuil1
2025,Ovins et caprins,Fievre aphteuse,93500,78220.0,,,,,35397.0,26934.0,8891.0,6915.0,1304.0,1169.0,116.0,,Feuil1
2025,Bovins importes,Fievre aphteuse,0,0.0,,,,,,,,,,,,,Feuil1
2025,Ovins,variole,81000,64800.0,,,,,29872.0,21638.0,7772.0,5602.0,1144.0,966.0,116.0,,Feuil1
2025,Ovins,langue bleue,0,0.0,,,,,,,,,,,,,Feuil1
2025,chiens et chats,Rage,10000,8000.0,46.0,147.0,161.0,275.0,802.0,730.0,1050.0,276.0,4254.0,4081.0,1835.0,200.0,Feuil1
2025,vaches,Avortement enzootique,0,0.0,,396.0,,,849.0,258.0,,,,,,,Feuil1
2025,Ovins et caprins,Fievre charbonneuse,50000,40000.0,,,,,15378.0,12416.0,782.0,,,,,,Feuil1
2025,Bovins,tuberculose bovinne,0,0.0,,,,,,,,,,,,,Feuil1
2025,Ovins et caprins,tuberculose caprine,0,0.0,,,,,,,,,,,,,Feuil1
2025,Abeilles,Nosemose,0,0.0,,,,,,,,,,,,,Feuil1
2025,lapin,Teniasis,0,0.0,,,,,,,,,,,,,Feuil1
