unnamed_0,2014,2014_1,2015,2015_1,2016_1,2017,2017_1,2018,2018_1,2019,2019_1,2020,2020_1,توقعات_2021,توقعات_2022,feuille
,,,,,القيمة,الكمية,,الكمية,,,,الكمية,,الكمية,القيمة,Feuil2
الحبوب,4.59,849.1,0.381,112.499,0,,340.846625,,42.2825,0.99028,169.40845000000002,,0.0,,,Feuil2
قمح صلب,1.032,252.8,0.0438,10.731,,0.51,124.95,0.0395,9.6775,0.13,31.85,0.51,0.0,245,7976.5,Feuil2
قمح لين,0.197,41.1,0.0032,0.668,,0.0019,0.396625,0,0.0,0.00028,0.0584499999999999,0.0019,0.0,208.75,,Feuil2
الشعير,3.301,495.2,0.274,41.1,,1.37,205.50000000000003,0.1507,22.605,0.85,127.5,1.37,0.0,150,,Feuil2
درع,0.06,60.0,0.06,60.0,,0.01,10.0,0.01,10.0,0.01,10.0,0.01,0.0,1000,,Feuil2
