date,qte_tonne_sfax,px_min_sfax,px_max_sfax,px_freq_sfax,qte_tonne_centre,px_min_centre,px_max_centre,px_freq_centre,qte_tonne_sahel,px_min_sahel,px_max_sahel,px_freq_sahel,qte_tonne_nord,px_min_nord,px_max_nord,px_freq_nord,qte_tonne_sud,px_min_sud,px_max_sud,feuille
2019-11-01,,,,,,,,,,,,,,,,,,,,Feuil1
2019-11-02,,,,,,,,,,,,,,,,,,,,Feuil1
2019-11-03,6.0,700.0,850.0,750.0,2.0,650.0,650.0,,,,,,,,,,,,,Feuil1
2019-11-04,8.0,700.0,750.0,720.0,3.0,700.0,770.0,,,,,,,,,,,,,Feuil1
2019-11-05,8.0,700.0,800.0,750.0,2.0,730.0,730.0,,,,,,1.0,1000.0,1000.0,,,,,Feuil1
2019-11-06,6.0,700.0,900.0,800.0,2.0,750.0,750.0,,,,,,2.0,1000.0,1000.0,,,,,Feuil1
2019-11-07,,800.0,900.0,,,,,,,900.0,900.0,,,1150.0,1150.0,,,,,Feuil1
2019-11-08,,700.0,900.0,,,,,,,,,,,900.0,1100.0,,,,,Feuil1
2019-11-09,,800.0,950.0,,,1000.0,1000.0,,,,,,,950.0,1180.0,,,,,Feuil1
2019-11-10,,850.0,920.0,,,800.0,950.0,,,,,,,950.0,1150.0,,,,,Feuil1
2019-11-11,,850.0,1000.0,,,820.0,970.0,,,,,,,900.0,1100.0,,,,,Feuil1
2019-11-12,28.0,850.0,1050.0,950.0,9.0,800.0,1000.0,900.0,,,,,5.0,950.0,1050.0,1000.0,,,,Feuil1
2019-11-13,,800.0,950.0,,,800.0,900.0,,,,,,,1050.0,1130.0,,,,,Feuil1
2019-11-14,6.0,850.0,950.0,,3.0,900.0,920.0,,,,,,8.0,950.0,1300.0,,,,,Feuil1
2019-11-15,14.0,830.0,1000.0,,26.0,850.0,1150.0,,2.0,880.0,880.0,,14.0,1030.0,1350.0,,,,,Feuil1
2019-11-16,27.0,800.0,1100.0,,15.0,750.0,920.0,,3.0,930.0,1100.0,,21.0,1050.0,1400.0,,,,,Feuil1
2019-11-17,28.0,800.0,1100.0,,17.0,800.0,950.0,,5.0,950.0,1200.0,,20.0,1000.0,1300.0,,,,,Feuil1
2019-11-18,21.0,800.0,1080.0,,20.0,800.0,960.0,,6.0,900.0,1100.0,,14.0,950.0,1150.0,,2.0,900.0,900.0,Feuil1
2019-11-19,45.0,850.0,1100.0,,15.0,850.0,1000.0,,6.0,1100.0,1100.0,,18.0,950.0,1400.0,,,,,Feuil1
2019-11-20,80.0,800.0,1050.0,,11.0,800.0,1000.0,,15.0,900.0,1050.0,,14.0,950.0,1250.0,,,,,Feuil1
2019-11-21,33.0,800.0,1200.0,,17.0,800.0,1100.0,,5.0,870.0,1050.0,,20.0,1030.0,1320.0,,,,,Feuil1
2019-11-22,44.0,800.0,1200.0,,15.0,850.0,1200.0,,14.0,850.0,1050.0,,26.0,900.0,1300.0,,,,,Feuil1
2019-11-23,45.0,850.0,1150.0,,27.0,860.0,1220.0,,18.0,1050.0,1050.0,,27.0,1150.0,1270.0,,,,,Feuil1
2019-11-24,36.0,850.0,1150.0,,27.0,830.0,1200.0,,12.0,900.0,150.0,,27.0,950.0,1300.0,,,,,Feuil1
2019-11-25,45.0,900.0,1200.0,,30.0,850.0,1200.0,,15.0,1000.0,1100.0,,24.0,930.0,1250.0,,,,,Feuil1
2019-11-26,60.0,900.0,1200.0,,18.0,850.0,1250.0,,23.0,1100.0,1150.0,,15.0,900.0,1350.0,,,,,Feuil1
2019-11-27,83.0,900.0,1250.0,,15.0,850.0,1250.0,,23.0,1150.0,1200.0,,18.0,950.0,1250.0,,2.0,1480.0,1480.0,Feuil1
2019-11-28,86.0,1020.0,1200.0,,30.0,950.0,1370.0,1370.0,27.0,1000.0,1150.0,1150.0,21.0,950.0,1300.0,,2.0,1200.0,1200.0,Feuil1
2019-11-29,75.0,1000.0,1250.0,,33.0,950.0,1250.0,1250.0,36.0,1050.0,1150.0,1150.0,24.0,900.0,1300.0,,,,,Feuil1
2019-11-30,,,,,,,,,,,,,,,,,,,,Feuil1
