date,qte_tonne_sfax,px_min_sfax,px_max_sfax,qte_tonne_centre,px_min_centre,px_max_centre,qte_tonne_sahel,px_min_sahel,px_max_sahel,qte_tonne_nord,px_min_nord,px_max_nord,qte_tonne_sud,px_min_sud,px_max_sud,qte_totale,feuille
2021-10-31,19.0,1000.0,1500.0,12.0,1050.0,1450.0,2.0,1650.0,1650.0,2.0,1350.0,1350.0,2.0,1650.0,1650.0,37.0,Feuil1
2021-11-01,15.0,1100.0,1800.0,15.0,1030.0,1450.0,2.0,1050.0,1050.0,,,,,,,32.0,Feuil1
2021-11-02,18.0,1200.0,1900.0,6.0,1000.0,1200.0,,,,2.0,1500.0,1500.0,,,,26.0,Feuil1
2021-11-03,19.0,1300.0,1620.0,14.0,800.0,1600.0,,,,,,,,,,33.0,Feuil1
2021-11-04,21.0,1000.0,1700.0,5.0,1450.0,1700.0,,,,2.0,1700.0,1700.0,,,,28.0,Feuil1
2021-11-05,21.0,1000.0,1880.0,14.0,900.0,1800.0,,,,4.0,1800.0,1800.0,,,,39.0,Feuil1
2021-11-06,14.0,1200.0,1600.0,6.0,1000.0,1700.0,5.0,1300.0,1650.0,5.0,1850.0,1850.0,,,,30.0,Feuil1
2021-11-07,31.0,1250.0,1750.0,3.0,1000.0,1600.0,5.0,1600.0,1800.0,3.0,1900.0,1900.0,2.0,1650.0,1650.0,44.0,Feuil1
2021-11-08,23.0,1300.0,1760.0,3.0,1400.0,1400.0,2.0,1350.0,1350.0,3.0,1800.0,1800.0,,,,31.0,Feuil1
2021-11-09,31.0,1400.0,1800.0,11.0,1400.0,2020.0,,,,5.0,1850.0,1850.0,,,,47.0,Feuil1
2021-11-10,26.0,1300.0,1750.0,6.0,700.0,1850.0,,,,8.0,1750.0,1750.0,,,,40.0,Feuil1
2021-11-11,41.0,1200.0,1800.0,9.0,1200.0,1650.0,2.0,1400.0,1400.0,8.0,1750.0,1750.0,,,,60.0,Feuil1
2021-11-12,20.0,1100.0,1700.0,9.0,1700.0,1800.0,2.0,1700.0,1700.0,5.0,1700.0,1700.0,,,,36.0,Feuil1
2021-11-13,17.0,1000.0,1700.0,7.0,1000.0,1780.0,,,,3.0,1650.0,1650.0,,,,27.0,Feuil1
2021-11-14,33.0,1450.0,1700.0,18.0,1550.0,1600.0,2.0,1550.0,1550.0,12.0,1650.0,1700.0,,,,65.0,Feuil1
2021-11-15,30.0,1250.0,1730.0,9.0,850.0,1600.0,3.0,1600.0,1620.0,6.0,1750.0,1750.0,,,,48.0,Feuil1
2021-11-16,25.0,1050.0,1750.0,12.0,1600.0,1900.0,2.0,1630.0,1630.0,3.0,1750.0,1750.0,,,,42.0,Feuil1
2021-11-17,33.0,1300.0,1650.0,8.0,1800.0,1900.0,12.0,1420.0,1600.0,6.0,1800.0,1800.0,,,,59.0,Feuil1
2021-11-18,29.0,1250.0,1800.0,12.0,1650.0,1920.0,5.0,1520.0,1520.0,3.0,1670.0,1670.0,,,,49.0,Feuil1
2021-11-19,21.0,1500.0,1800.0,12.0,1500.0,1850.0,14.0,1200.0,1720.0,,,,,,,47.0,Feuil1
2021-11-20,23.0,800.0,1550.0,18.0,1100.0,1800.0,3.0,1550.0,1550.0,8.0,1700.0,1700.0,,,,52.0,Feuil1
2021-11-21,23.0,1370.0,1900.0,20.0,1450.0,1870.0,3.0,1450.0,1550.0,3.0,1700.0,1700.0,,,,49.0,Feuil1
