date,qte_tonne_sfax,px_min_sfax,px_max_sfax,qte_tonne_centre,px_min_centre,px_max_centre,qte_tonne_sahel,px_min_sahel,px_max_sahel,qte_tonne_nord,px_min_nord,px_max_nord,qte_tonne_sud,px_min_sud,px_max_sud,feuille
2020-10-25,16.0,900.0,1050.0,3.0,1000.0,1020.0,,,,2.0,1420.0,1420.0,2.0,1300.0,1300.0,Feuil1
2020-10-26,7.0,,,2.0,,,,,,2.0,1450.0,1450.0,2.0,1300.0,1300.0,Feuil1
2020-10-27,,,,3.0,1100.0,1200.0,,,,,,,3.0,,,Feuil1
2020-10-28,7.0,,,2.0,,,,,,,,,2.0,1320.0,1320.0,Feuil1
2020-10-29,,,,3.0,1200.0,1200.0,,,,,,,2.0,1280.0,1280.0,Feuil1
2020-10-30,,,,,,,,,,,,,,,,Feuil1
2020-10-31,3.0,900.0,1000.0,3.0,830.0,1350.0,,,,3.0,1350.0,1350.0,,,,Feuil1
2020-11-01,4.0,950.0,1100.0,3.0,1000.0,1200.0,3.0,900.0,1000.0,,,,,,,Feuil1
2020-11-02,6.0,1000.0,1150.0,5.0,950.0,1200.0,2.0,1000.0,1000.0,,,,2.0,1300.0,1300.0,Feuil1
2020-11-03,8.0,1000.0,1350.0,6.0,1300.0,1660.0,,,,,,,,,,Feuil1
2020-11-04,,,,2.0,1500.0,1500.0,9.0,1000.0,1040.0,8.0,1250.0,1550.0,,,,Feuil1
2020-11-05,3.0,1000.0,1150.0,5.0,1200.0,1450.0,6.0,1020.0,1050.0,6.0,1420.0,1550.0,2.0,1370.0,1370.0,Feuil1
2020-11-06,5.0,1060.0,1200.0,6.0,1300.0,1550.0,5.0,1040.0,1350.0,5.0,1300.0,1600.0,8.0,1400.0,1430.0,Feuil1
2020-11-07,,,,,,,,,,,,,,,,Feuil1
2020-11-08,9.0,1100.0,1120.0,3.0,1200.0,1300.0,5.0,1020.0,1050.0,6.0,1200.0,1500.0,5.0,1170.0,1320.0,Feuil1
2020-11-09,20.0,1020.0,1200.0,11.0,1100.0,1550.0,2.0,1050.0,1050.0,,,,2.0,1450.0,1450.0,Feuil1
2020-11-10,14.0,1050.0,1370.0,6.0,1150.0,1250.0,9.0,1050.0,1070.0,2.0,1350.0,1350.0,5.0,1200.0,1300.0,Feuil1
2020-11-11,12.0,1160.0,1350.0,11.0,1000.0,1500.0,12.0,1050.0,1100.0,4.0,1500.0,1500.0,4.0,1370.0,1500.0,Feuil1
2020-11-12,14.0,1070.0,1550.0,9.0,1000.0,1550.0,9.0,1060.0,1100.0,4.0,1400.0,1600.0,2.0,1600.0,1400.0,Feuil1
2020-11-13,20.0,1000.0,1300.0,9.0,1000.0,1420.0,5.0,1030.0,1100.0,2.0,1300.0,1470.0,,,,Feuil1
2020-11-14,15.0,1060.0,1450.0,8.0,1000.0,1500.0,6.0,1060.0,1070.0,6.0,1550.0,1550.0,4.0,1400.0,1450.0,Feuil1
2020-11-15,14.0,1020.0,1460.0,9.0,1020.0,1480.0,9.0,1000.0,1100.0,6.0,1400.0,1570.0,3.0,1300.0,1450.0,Feuil1
2020-11-16,11.0,1080.0,1150.0,17.0,1080.0,1600.0,4.0,1070.0,1100.0,,,,2.0,1350.0,1350.0,Feuil1
2020-11-17,15.0,1070.0,1200.0,6.0,1200.0,1350.0,6.0,1070.0,1100.0,2.0,1600.0,1600.0,3.0,1470.0,1600.0,Feuil1
2020-11-18,11.0,1170.0,1200.0,12.0,1300.0,1730.0,5.0,1100.0,1150.0,6.0,1700.0,1700.0,5.0,1400.0,1700.0,Feuil1
2020-11-19,14.0,1100.0,1200.0,11.0,1150.0,1750.0,5.0,1120.0,1170.0,,,,6.0,1870.0,1870.0,Feuil1
2020-11-20,8.0,1150.0,1200.0,14.0,1150.0,1700.0,5.0,1160.0,1200.0,5.0,1750.0,1750.0,,,,Feuil1
2020-11-21,9.0,1150.0,1200.0,23.0,1150.0,1800.0,,,,2.0,1670.0,1670.0,,,,Feuil1
2020-11-22,6.0,1120.0,1200.0,18.0,1200.0,1700.0,3.0,1150.0,1150.0,6.0,1460.0,1550.0,3.0,1380.0,1380.0,Feuil1
2020-11-23,5.0,1100.0,1200.0,2.0,1250.0,1750.0,3.0,1000.0,1200.0,6.0,1300.0,1500.0,11.0,1420.0,1420.0,Feuil1
2020-11-24,6.0,1100.0,1200.0,14.0,1150.0,1780.0,3.0,1200.0,1200.0,,,,3.0,1720.0,1760.0,Feuil1
2020-11-25,2.0,1100.0,1200.0,12.0,1400.0,1630.0,3.0,1170.0,1200.0,2.0,1500.0,1500.0,,,,Feuil1
2020-11-26,4.0,1050.0,1200.0,11.0,1170.0,1700.0,,,,5.0,1550.0,1550.0,,,,Feuil1
2020-11-27,3.0,1200.0,1200.0,9.0,1350.0,1600.0,,,,2.0,1750.0,1750.0,3.0,1600.0,1650.0,Feuil1
2020-11-28,2.0,1200.0,1250.0,15.0,1100.0,1650.0,,,,2.0,1650.0,1650.0,2.0,1600.0,1600.0,Feuil1
2020-11-29,5.0,1200.0,1200.0,12.0,1150.0,1600.0,3.0,1100.0,1250.0,5.0,1450.0,1700.0,2.0,1500.0,1500.0,Feuil1
2020-11-30,6.0,1100.0,1200.0,17.0,1200.0,1700.0,5.0,1150.0,1300.0,2.0,1500.0,1500.0,2.0,1600.0,1600.0,Feuil1
2020-12-01,9.0,1200.0,1200.0,30.0,1100.0,1780.0,3.0,1200.0,1200.0,,,,3.0,1470.0,1800.0,Feuil1
2020-12-02,9.0,1100.0,1200.0,36.0,1100.0,1800.0,,,,,,,2.0,1500.0,1500.0,Feuil1
2020-12-03,12.0,1200.0,1200.0,24.0,1100.0,1710.0,3.0,1150.0,1150.0,,,,,,,Feuil1
2020-12-04,12.0,1180.0,1200.0,36.0,1100.0,1700.0,5.0,1100.0,1220.0,2.0,1950.0,1950.0,,,,Feuil1
2020-12-05,9.0,1200.0,1200.0,29.0,1320.0,1750.0,2.0,1150.0,1150.0,6.0,1650.0,1750.0,,,,Feuil1
