societe,emplacement,annee_creation,capacite_tonnes,poisson,production_tonnes,observations,feuille
شركة الجنوب لتربية الاسماك,الجرف,1990,200,قاروص و وراطة,0,بصدد الإنتاج,Feuil1
توني باش,آجيم,2010,50,بلطي,0,متوقف عن النشاط,Feuil1
اكوا ماير,جرجيس,2008,50,قاروص,0,متوقف عن النشاط,Feuil1
سيبات,جرجيس,2002,200,قاروص و وراطة,55,متوقف عن النشاط,Feuil1
أسماك متوسط,جرجيس,2011,200,وراطة و قاروص,0,متوقف عن النشاط,Feuil1
سبيرولين ماد,بني خداش,2018,2,,1,بصدد الإنتاج,Feuil1
