gouvernorat,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,feuille
Tunis,74.5,59.6,77.3,34.3,64.9,11.1,4.0,11.6,0.0,3.6,10.5,15.0,18.0,13.0,4.0,,32.2,13.5,22.43,22.75,4.26,8.15,0.75,25.45,18.96,17.45,11.27,17.6,11.52,13.05,3.6,9.65,16.0,16.55,19.22,13.75,8.4,17.18,12.18,12.68,17.55,Feuil1
Ariana,,,,,,409.5,211.7,576.0,39.4,147.0,458.7,762.0,738.0,550.0,134.0,279.3,840.1,483.4,822.47,755.74,434.98,84.6,49.38,125.62,131.0,125.0,84.4,81.96,59.03,110.73,88.9,112.21,99.65,73.12,101.79,82.7,70.7,114.94,134.19,122.13,102.4,Feuil1
Manouba,,,,,,,,,,,,,,,,,,,,,,500.8,116.3,764.26,465.99,419.93,427.1,466.8,347.87,497.79,395.72,476.08,453.6,358.8,358.54,260.82,247.56,313.46,333.12,390.9,356.1,Feuil1
Ben Arous,,,,,,29.7,23.8,129.5,0.0,17.9,100.9,148.0,220.0,107.0,46.0,23.3,148.8,74.38,120.0,113.51,66.91,67.2,13.83,125.26,99.11,90.12,79.9,95.35,90.58,117.9,62.26,129.9,126.62,118.9,120.23,48.04,41.3,73.25,22.17,72.16,50.22,Feuil1
Nabeul,225.9,139.9,120.7,99.1,133.8,134.6,85.3,128.5,4.2,69.8,201.4,295.0,395.0,340.0,197.0,175.1,322.4,284.65,306.26,325.33,315.0,372.0,164.6,403.35,422.3,397.1,366.93,354.99,393.89,412.48,381.0,414.0,473.0,452.06,491.98,395.6,349.49,401.7,424.54,570.28,528.22,Feuil1
Bizerte,1024.6,996.6,822.5,561.7,892.3,931.0,689.2,997.6,147.9,737.9,1238.6,1132.0,1550.0,1335.0,642.0,1182.0,1449.1,1231.09,1312.2,1778.93,1389.78,1682.4,803.0,1593.74,1480.28,1681.05,1429.55,1560.12,1685.42,1714.76,1499.44,1640.06,1621.75,1624.82,1789.08,1457.03,1862.27,1724.45,2093.76,2153.7,1970.7,Feuil1
Béja,1445.8,1790.3,1414.8,835.8,1155.1,1698.8,1095.6,1993.6,728.1,768.4,1254.3,2029.0,2267.0,2200.0,1192.0,1311.3,2116.9,1760.45,2364.64,2194.92,1304.85,2578.6,1144.67,2962.3,3080.97,2938.06,2351.17,2382.39,2078.56,2782.7,2011.34,2745.9,2586.68,2312.8,2528.46,1884.71,1919.0,2282.72,2680.735,2900.0,2375.0,Feuil1
Jendouba,915.5,1245.4,992.0,553.0,650.0,930.0,522.0,1057.0,323.2,347.5,392.6,1536.0,1500.0,1290.0,844.0,749.1,1392.3,1034.98,1465.04,1271.62,725.07,1159.7,577.55,1223.6,1073.08,1134.0,1077.68,1124.18,891.41,1785.71,828.19,1787.29,1528.84,1230.05,1713.15,1304.58,1455.68,1762.19,2002.59,1600.0,1456.6465,Feuil1
Kef,1569.4,1169.1,1721.4,1043.9,1161.7,1550.4,386.7,2267.4,39.0,330.0,806.1,1487.0,1458.0,1271.0,438.0,327.4,2089.6,746.2,1525.54,1298.75,742.93,918.2,149.92,2513.03,1633.45,1886.4,1068.0,1751.5,255.9,1262.87,269.7,1009.8,1223.67,338.01,1197.56,558.29,536.94,264.93,408.79,950.2,593.44,Feuil1
Siliana,973.8,1392.8,1172.3,618.6,613.3,1138.4,534.0,1286.9,215.8,232.2,1218.2,1912.0,1676.0,1550.0,361.0,192.0,1989.6,830.84,1719.89,1284.07,552.0,960.5,188.12,2357.82,1521.43,1624.2,1335.6,1597.8,653.2,1769.36,497.43,1929.0,1572.0,708.7,1556.5,554.48,858.35,582.23,480.78,1695.83,680.417,Feuil1
