gouvernorat,amelioration_parcours_realses_en_2020_ha,feuille
Beja,260,Feuil1
Jendouba,212,Feuil1
Bizerte,216,Feuil1
Kef,200,Feuil1
Siliana,100,Feuil1
Total,988,Feuil1
