annee,ann_2007,ann_2008,ann_2009,ann_2010,ann_2011,ann_2012,ann_2013,ann_2014,ann_2015,ann_2016,ann_2017,ann_2018,ann_2019,ann_2020,ann_2021,ann_2022,ann_2023,feuille
janvier,32.8,34.4,30.1,38.7,34.7,43.2,40.6,44.4,47.3,48.2,54.6,50.8,50.0,53.3,54.4,51.5,48.4,Feuil1
fevrier,30.8,38.0,31.8,38.1,38.1,42.9,41.3,43.2,47.9,50.7,51.9,49.9,48.5,53.7,53.1,51.7,46.7,Feuil1
mars,39.8,41.5,41.0,47.0,43.0,51.8,50.5,50.9,57.2,54.8,61.0,57.0,58.8,66.9,61.9,56.2,52.4,Feuil1
avril,39.2,45.6,41.2,48.2,40.0,52.1,50.4,52.5,61.6,54.3,60.9,58.0,58.0,62.4,55.3,47.6,,Feuil1
mai,36.0,45.8,42.6,45.8,42.6,53.2,49.1,55.5,65.6,58.3,58.3,45.9,45.5,55.7,54.9,57.4,,Feuil1
juin,31.9,39.8,36.1,41.9,42.0,46.0,42.8,48.3,52.4,44.1,45.4,48.6,51.0,57.0,53.2,45.8,,Feuil1
juillet,32.4,37.1,32.9,35.1,36.6,37.3,36.1,42.0,49.5,50.7,53.9,47.4,50.8,53.9,51.4,45.4,,Feuil1
aout,29.9,33.8,28.8,29.0,31.2,35.6,41.1,45.1,47.7,51.7,47.9,45.4,47.6,50.3,48.6,42.1,,Feuil1
septembre,22.2,23.1,24.6,32.0,32.9,36.1,39.8,42.5,46.6,47.0,46.1,44.1,43.8,48.2,46.6,39.1,,Feuil1
octobre,25.9,26.3,28.9,32.3,34.9,36.7,38.4,40.5,45.6,44.4,45.4,44.8,44.4,48.9,46.6,38.3,,Feuil1
novembre,27.5,26.3,30.1,33.9,33.8,34.0,37.9,40.6,43.1,46.2,43.1,42.1,45.1,46.8,42.9,36.2,,Feuil1
decembre,29.8,27.0,31.6,34.1,37.6,39.8,42.3,40.3,45.7,49.8,48.6,48.7,48.7,48.7,46.9,42.6,,Feuil1
