السنة,المساحات_المجهزة,المساحات_المروية,مساحات_الزراعات,نسبة_التكثيف,نسبة_الاستغلال,feuille
2014,489,399,457,0.93,0.82,Feuil1 (2)
2015,496,405,453,0.91,0.82,Feuil1 (2)
2016,513,412,468,0.91,0.8,Feuil1 (2)
2017,524,402,456,0.87,0.77,Feuil1 (2)
2018,530,407,479,0.9,0.77,Feuil1 (2)
2019,542,412,486,0.9,8.76,Feuil1 (2)
2020,544,417,493,0.91,0.77,Feuil1 (2)
2021,552,419,499,0.9,0.76,Feuil1 (2)
