annee,gouvernorat,production_tonne,feuille
2013,Sousse,5028,Feuil1
2013,Monastir,26828,Feuil1
2013,Mahdia,22262,Feuil1
2013,Sfax,18740,Feuil1
2013,Gabès,7037,Feuil1
2013,Medenie,15729,Feuil1
2013,Autes gouvernorats,242,Feuil1
2014,Jendouba et Beja,1775,Feuil1
2014,Bizerte,5972,Feuil1
2014,Ariana,213,Feuil1
2014,Tunis et Ben Arous,2253,Feuil1
2014,Nabeul,15267,Feuil1
2014,Sousse,5344,Feuil1
2014,Monastir,25249,Feuil1
2014,Mahdia,23993,Feuil1
2014,Sfax,21180,Feuil1
2014,Gabès,7815,Feuil1
2014,Medenie,17178,Feuil1
2014,Autes gouvernorats,273,Feuil1
2015,Jendouba et Beja,1583,Feuil1
2015,Bizerte,6212,Feuil1
2015,Ariana,152,Feuil1
2015,Tunis et Ben Arous,3809,Feuil1
2015,Nabeul,18052,Feuil1
2015,Sousse,5514,Feuil1
2015,Monastir,26998,Feuil1
2015,Mahdia,25792,Feuil1
2015,Sfax,19746,Feuil1
2015,Gabès,6905,Feuil1
2015,Medenie,16601,Feuil1
2015,Autes gouvernorats,341,Feuil1
2016,Jendouba et Beja,1416,Feuil1
2016,Bizerte,6979,Feuil1
2016,Ariana,123,Feuil1
2016,Tunis et Ben Arous,2840,Feuil1
2016,Nabeul,18159,Feuil1
2016,Sousse,5501,Feuil1
2016,Monastir,25262,Feuil1
2016,Mahdia,22119,Feuil1
2016,Sfax,21034,Feuil1
2016,Gabès,6510,Feuil1
2016,Medenie,16199,Feuil1
2016,Autes gouvernorats,386,Feuil1
2017,Jendouba et Beja,1686,Feuil1
2017,Bizerte,6756,Feuil1
2017,Ariana,106,Feuil1
2017,Tunis et Ben Arous,2917,Feuil1
2017,Nabeul,15892,Feuil1
2017,Sousse,5549,Feuil1
2017,Monastir,34258,Feuil1
2017,Mahdia,19448,Feuil1
2017,Sfax,17340,Feuil1
2017,Gabès,7260,Feuil1
2017,Medenie,18496,Feuil1
2017,Autes gouvernorats,581,Feuil1
2018,Jendouba et Beja,1653,Feuil1
2018,Bizerte,7348,Feuil1
2018,Ariana,140,Feuil1
2018,Tunis et Ben Arous,3677,Feuil1
2018,Nabeul,16975,Feuil1
2018,Sousse,5684,Feuil1
2018,Monastir,33678,Feuil1
2018,Mahdia,22399,Feuil1
2018,Sfax,20099,Feuil1
2018,Gabès,8354,Feuil1
2018,Medenie,13875,Feuil1
2018,Autes gouvernorats,90,Feuil1
2019,Jendouba et Beja,1825,Feuil1
2019,Bizerte,7776,Feuil1
2019,Ariana,110,Feuil1
2019,Tunis et Ben Arous,3259,Feuil1
2019,Nabeul,15497,Feuil1
2019,Sousse,5237,Feuil1
2019,Monastir,32965,Feuil1
2019,Mahdia,23432,Feuil1
2019,Sfax,32308,Feuil1
2019,Gabès,10564,Feuil1
2019,Medenie,16520,Feuil1
2019,Autes gouvernorats,1397,Feuil1
2020,Jendouba et Beja,1849,Feuil1
2020,Bizerte,6800,Feuil1
2020,Ariana,98,Feuil1
2020,Tunis et Ben Arous,2270,Feuil1
2020,Nabeul,16176,Feuil1
2020,Sousse,4420,Feuil1
2020,Monastir,32642,Feuil1
2020,Mahdia,25560,Feuil1
2020,Sfax,19688,Feuil1
2020,Gabès,11520,Feuil1
2020,Medenie,16168,Feuil1
2020,Autes gouvernorats,239,Feuil1
2021,Jendouba et Beja,1826,Feuil1
2021,Bizerte,6942,Feuil1
2021,Ariana,385,Feuil1
2021,Tunis et Ben Arous,2553,Feuil1
2021,Nabeul,13404,Feuil1
2021,Sousse,5889,Feuil1
2021,Monastir,32204,Feuil1
2021,Mahdia,26178,Feuil1
2021,Sfax,17615,Feuil1
2021,Gabès,21793,Feuil1
2021,Medenie,19149,Feuil1
2021,Autes gouvernorats,197,Feuil1
2022,Jendouba et Beja,1867,Feuil1
2022,Bizerte,7131,Feuil1
2022,Ariana,495,Feuil1
2022,Tunis et Ben Arous,2818,Feuil1
2022,Nabeul,15745,Feuil1
2022,Sousse,5609,Feuil1
2022,Monastir,35840,Feuil1
2022,Mahdia,25113,Feuil1
2022,Sfax,15286,Feuil1
2022,Gabès,26333,Feuil1
2022,Medenie,22116,Feuil1
2022,Autes gouvernorats,211,Feuil1
2023,Jendouba et Beja,1454,Feuil1
2023,Bizerte,8095,Feuil1
2023,Ariana,421,Feuil1
2023,Tunis et Ben Arous,2744,Feuil1
2023,Nabeul,15502,Feuil1
2023,Sousse,6028,Feuil1
2023,Monastir,39318,Feuil1
2023,Mahdia,23535,Feuil1
2023,Sfax,15336,Feuil1
2023,Gabès,17109,Feuil1
2023,Medenie,16876,Feuil1
2023,Autes gouvernorats,201,Feuil1
