annee,delegation,production_de_miel_en_tonne,feuille
2016,MANOUBA,0.0,Feuil1
2016,DOUAR HICHER,0.0,Feuil1
2016,OUED ELLIL,2.75,Feuil1
2016,MORNAGUIA,1.155,Feuil1
2016,BORJ EL AMRI,2.815,Feuil1
2016,DJEDAIDA,3.649,Feuil1
2016,TEBOURBA,14.28,Feuil1
2016,EL BATTANE,3.336,Feuil1
2017,MANOUBA,,Feuil1
2017,DOUAR HICHER,,Feuil1
2017,OUED ELLIL,4.622,Feuil1
2017,MORNAGUIA,0.882,Feuil1
2017,BORJ EL AMRI,5.241,Feuil1
2017,DJEDAIDA,4.903,Feuil1
2017,TEBOURBA,26.756,Feuil1
2017,EL BATTANE,8.478,Feuil1
2018,MANOUBA,,Feuil1
2018,DOUAR HICHER,,Feuil1
2018,OUED ELLIL,2.94,Feuil1
2018,MORNAGUIA,0.8,Feuil1
2018,BORJ EL AMRI,2.562,Feuil1
2018,DJEDAIDA,2.237,Feuil1
2018,TEBOURBA,26.74,Feuil1
2018,EL BATTANE,4.962,Feuil1
2019,MANOUBA,,Feuil1
2019,DOUAR HICHER,,Feuil1
2019,OUED ELLIL,3.701940806639994,Feuil1
2019,MORNAGUIA,1.007330831738774,Feuil1
2019,BORJ EL AMRI,3.2259769886434233,Feuil1
2019,DJEDAIDA,2.8167488382495467,Feuil1
2019,TEBOURBA,33.67003305086852,Feuil1
2019,EL BATTANE,6.2479694838597455,Feuil1
2020,MANOUBA,,Feuil1
2020,DOUAR HICHER,,Feuil1
2020,OUED ELLIL,4.137,Feuil1
2020,MORNAGUIA,0.21,Feuil1
2020,BORJ EL AMRI,2.415,Feuil1
2020,DJEDAIDA,3.222,Feuil1
2020,TEBOURBA,28.845,Feuil1
2020,EL BATTANE,4.851,Feuil1
2021,MANOUBA,0.0,Feuil1
2021,DOUAR HICHER,0.0,Feuil1
2021,OUED ELLIL,3.0,Feuil1
2021,MORNAGUIA,0.0,Feuil1
2021,BORJ EL AMRI,3.4,Feuil1
2021,DJEDAIDA,2.3,Feuil1
2021,TEBOURBA,21.0,Feuil1
2021,EL BATTANE,5.0,Feuil1
2022,MANOUBA,0.0,Feuil1
2022,DOUAR HICHER,0.0,Feuil1
2022,OUED ELLIL,3.474,Feuil1
2022,MORNAGUIA,0.0,Feuil1
2022,BORJ EL AMRI,2.85,Feuil1
2022,DJEDAIDA,1.866,Feuil1
2022,TEBOURBA,18.846,Feuil1
2022,EL BATTANE,4.71,Feuil1
2023,MANOUBA,0.36,Feuil1
2023,DOUAR HICHER,0.0,Feuil1
2023,OUED ELLIL,2.4,Feuil1
2023,MORNAGUIA,1.056,Feuil1
2023,BORJ EL AMRI,1.8,Feuil1
2023,DJEDAIDA,2.616,Feuil1
2023,TEBOURBA,9.42,Feuil1
2023,EL BATTANE,3.0,Feuil1
2024,MANOUBA,0.4,Feuil1
2024,DOUAR HICHER,0.0,Feuil1
2024,OUED ELLIL,2.6,Feuil1
2024,MORNAGUIA,1.1,Feuil1
2024,BORJ EL AMRI,1.9,Feuil1
2024,DJEDAIDA,2.8,Feuil1
2024,TEBOURBA,10.1,Feuil1
2024,EL BATTANE,3.2,Feuil1
