gouvernorat,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,feuille
Tunis,1.7,2.2,1.4,1.6,0.6,0.1,0.2,0.2,0.3,0.2,0.4,0.4,0.3,0.4,0.4,0.25,0.5,0.4,0.45,0.62,0.55,0.56,0.48,0.5,0.43,0.47,0.49,0.27,0.35,0.23,0.16,0.34,0.21,0.32,0.23,0.25,0.15,0.178,0.15,0.26,0.12,Feuil1
Ariana,,,,,,6.4,6.3,4.5,6.4,9.0,6.3,8.1,3.7,5.9,5.0,6.0,7.6,9.14,6.09,7.78,5.53,1.25,0.79,0.77,1.29,1.72,1.55,1.88,1.36,1.9,1.36,1.8,1.87,1.61,1.9,1.8,1.4,1.586,0.9,1.69,0.12,Feuil1
Manouba,,,,,,1.4,1.6,1.4,0.8,0.4,3.6,0.9,2.0,2.6,1.5,2.5,2.9,1.8,2.2,2.66,,7.2,6.82,3.37,10.94,5.54,5.92,6.6,8.41,8.23,9.08,8.33,7.5,6.5,6.4,7.05,7.7,7.35,7.5,8.6,8.175,Feuil1
Ben Arous,,,,,,,,,,,,,,,,,,,,,2.16,1.4,1.35,1.5,1.83,2.22,0.95,1.22,1.53,1.87,1.42,1.92,2.21,1.55,1.44,1.96,1.13,1.18,1.023,1.25,1.6,Feuil1
Nabeul,2.7,2.4,1.9,2.9,2.9,3.0,2.8,2.0,2.3,1.6,1.3,2.6,1.7,4.5,2.1,3.4,2.1,2.77,3.22,3.4,2.3,2.3,2.4,2.5,2.1,2.2,2.5,2.2,2.3,1.67,1.45,2.0,2.4,2,2.37,1.18,1.94,1.83,1.97,1.925,2.065,Feuil1
Bizerte,13.5,9.7,8.3,8.1,14.0,16.0,14.5,10.3,8.5,10.8,9.0,10.2,10.5,13.0,8.0,7.95,4.6,14.67,11.23,14.02,9.81,9.0,12.22,10.73,10.0,11.2,10.92,10.84,13.22,12.02,16.45,16.06,15.73,13.03,17.15,8.11,6.08,11.832,10.23,7.2,5.1,Feuil1
Béja,9.5,13.1,16.6,22.6,23.0,27.6,26.0,30.0,28.0,33.0,29.0,30.0,25.0,25.0,23.3,19.7,24.6,25.52,24.9,28.49,25.69,27.3,25.57,24.93,29.05,26.62,26.3,25.78,26.04,22.32,19.54,22.98,22.53,22.82,25.79,22.82,22.94,22.704,17.485,12.9,9.5,Feuil1
Jendouba,3.6,6.6,7.5,9.0,9.5,10.0,11.5,14.0,14.5,16.5,10.7,10.5,4.9,5.1,4.5,6.0,4.6,6.81,6.97,7.6,7.03,5.6,5.91,5.01,4.43,5.0,4.95,5.03,5.57,5.16,4.55,4.13,5.2,4.3,1.815,3.92,4.69,4.53,3.393,1.837,0.58,Feuil1
Kef,4.2,5.3,6.3,2.4,8.3,19.3,11.6,13.0,12.5,15.0,16.5,16.5,15.9,26.3,25.8,36.5,25.7,19.37,27.52,24.92,20.84,17.32,15.37,19.49,28.76,21.23,26.27,15.74,20.0,19.75,20.67,19.24,26.3,24.12,20.27,19.98,14.205,11.925,11.93,11.11,8.9,Feuil1
Siliana,20.3,20.9,13.6,20.2,16.9,23.0,19.6,25.4,14.3,24.3,28.5,28.0,23.3,32.0,22.0,23.2,27.6,26.82,21.79,20.62,21.75,21.1,19.28,25.5,24.7,30.16,27.75,23.24,33.7,29.0,27,25.6,22.5,21,24.5,24.7,15.2,16.05,14.81,15.405,15.0,Feuil1
Zaghouan,12.7,18.1,19.1,15.8,13.9,13.0,9.7,14.4,5.5,11.4,14.1,12.9,14.4,21.5,25.5,16.6,16.0,25.2,26.15,18.69,20.25,17.68,18.61,24.78,20.05,24.39,17.57,14.93,15.0,14.73,14.2,15.75,11.46,17.11,16.3,16.26,14.11,13.0,14.12,16.45,10.2,Feuil1
Sousse,1.2,0.3,,1.0,0.7,1.0,0.5,1.8,0.9,0.9,2.0,1.9,2.2,2.0,1.5,0.6,1.5,0.56,1.09,2.0,1.1,0.825,2.0,1.11,1.12,2.85,1.5,3.0,2.32,1.54,0.93,1.15,2.72,1.08,1.42,,0.02,0.23,0.575,0.88,0.505,Feuil1
Monastir,0.2,0.3,0.5,0.8,0.2,0.2,0.2,0.3,,0.3,0.2,0.4,0.4,0.2,0.1,0.1,0.1,,0.15,,,,0.01,,1.14,0.13,0.01,,,,,,,,,,,0.0,0.0,0.007,0.01,Feuil1
Mahdia,0.2,1.0,1.0,2.3,3.1,2.7,0.8,3.1,0.1,3.5,3.0,1.2,3.5,2.0,2.1,,3.0,0.4,1.2,0.65,1.3,,0.26,1.4,2.5,1.65,1.72,1.03,1.07,1.47,0.42,0.61,0.62,,0.78,0.34,3.57,1.218,0.15,0.8,0.1,Feuil1
Sfax,0.8,3.7,0.4,4.5,3.9,10.2,2.6,3.8,0.4,10.0,5.7,3.6,2.3,1.7,1.8,0.25,5.5,,0.18,2.8,4.0,0.11,1.52,0.88,,1.3,3.07,0.51,0.4,0.71,,1.52,1.51,,0.35,0.02,,0.28,0.0,0.12,0.14,Feuil1
Kairouan,4.3,5.6,11.1,13.8,6.4,12.3,4.1,17.4,4.7,15.0,15.7,18.1,18.0,14.9,7.8,8.95,11.3,8.18,8.58,5.83,4.36,4.5,3.37,6.15,6.31,6.1,1.91,4.8,2.71,1.99,0.64,3.65,2.89,1.38,3.76,2.35,1.46,0.379,0.17,0.195,0.12,Feuil1
Kasserine,1.2,2.1,,1.5,0.6,0.2,,0.4,0.5,0.1,0.4,0.1,2.4,2.8,,,1.1,,0.27,,,0.52,0.42,0.29,0.08,0.5,0.37,0.27,,0.48,,0.09,,0.3,0.03,,0.2,0.15,0.0,0.0,0.0,Feuil1
Sidi Bouzid,2.7,1.4,,8.5,10.0,19.4,1.0,6.2,0.6,10.3,6.2,11.7,12.7,8.6,3.5,1.1,11.5,0.2,0.11,3.04,1.34,1.15,0.39,2.06,1.01,1.61,4.04,0.52,0.72,0.07,0.01,1.2,0.15,,,,,0.0,0.0,0.0,0.0,Feuil1
Gafsa,1.5,0.7,,0.2,2.0,3.5,0.4,1.7,1.5,1.5,3.9,12.8,1.7,6.3,3.5,4.5,8.9,,1.5,1.46,1.85,0.9,0.2,1.5,4.3,1.55,0.92,1.66,0.25,0.05,0.02,1.61,0.13,,,,,0.0,0.12,0.0,0.0,Feuil1
Gabès,0.1,0.9,,5.0,0.2,10.8,,3.5,0.5,10.0,4.5,9.5,0.5,2.7,0.5,1.5,8.0,,0.06,3.4,3.58,,,0.08,4.0,1.7,4.5,4.88,1.0,1.1,,0.86,0.4,,0.25,,0.17,0.56,0.8,0.2,0.1,Feuil1
Medenine,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,0.0,0.0,0.0,0.0,Feuil1
Tozeur,,,,,,,,,,,,,,,,,,,,0.09,,,,0.19,0.2,0.2,,,,0.05,,,,,,,,0.0,0.0,0.0,0.0,Feuil1
Kébili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Feuil1
Tatouine,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.0,0.0,0.0,0.0,Feuil1
