annee,designation_ar,nombre,feuille
2016,"إجازة الصيد البري ""مصيد صغير""",587.0,Feuil3
2016,"إجازة الصيد البري ""مصيد كبير""",36.0,Feuil3
2016,إجازة الصيد بوسلطة السلوقي,14.0,Feuil3
2016,"إجازة الصيد البري ""مصيد صغير مقيم وقتي""",2.0,Feuil3
2016,"إجازة الصيد البري ""مصيد كبير مقيم وقتي""",2.0,Feuil3
2016,رخصة القبض على عصفور الزيتون,0.0,Feuil3
2017,"إجازة الصيد البري ""مصيد صغير""",623.0,Feuil3
2017,"إجازة الصيد البري ""مصيد كبير""",42.0,Feuil3
2017,إجازة الصيد بوسلطة السلوقي,3.0,Feuil3
2017,"إجازة الصيد البري ""مصيد صغير مقيم وقتي""",3.0,Feuil3
2017,"إجازة الصيد البري ""مصيد كبير مقيم وقتي""",3.0,Feuil3
2017,رخصة القبض على عصفور الزيتون,9.0,Feuil3
2018,"إجازة الصيد البري ""مصيد صغير""",610.0,Feuil3
2018,"إجازة الصيد البري ""مصيد كبير""",45.0,Feuil3
2018,إجازة الصيد بوسلطة السلوقي,36.0,Feuil3
2018,"إجازة الصيد البري ""مصيد صغير مقيم وقتي""",1.0,Feuil3
2018,"إجازة الصيد البري ""مصيد كبير مقيم وقتي""",1.0,Feuil3
2018,رخصة القبض على عصفور الزيتون,7.0,Feuil3
2019,"إجازة الصيد البري ""مصيد صغير""",653.0,Feuil3
2019,"إجازة الصيد البري ""مصيد كبير""",63.0,Feuil3
2019,إجازة الصيد بواسطة السلوقي,2.0,Feuil3
2019,إجازة الصيد بواسطة كلب شوك,2.0,Feuil3
2019,"إجازة الصيد البري ""مصيد صغير مقيم وقتي""",3.0,Feuil3
2019,"إجازة الصيد البري ""مصيد كبير مقيم وقتي""",3.0,Feuil3
2019,رخصة القبض على عصفور الزيتون,,Feuil3
2020,"إجازة الصيد البري ""مصيد صغير""",731.0,Feuil3
2020,"إجازة الصيد البري ""مصيد كبير""",77.0,Feuil3
2020,إجازة الصيد بوسلطة السلوقي,19.0,Feuil3
2020,"إجازة الصيد البري ""مصيد صغير مقيم وقتي""",2.0,Feuil3
2020,"إجازة الصيد البري ""مصيد كبير مقيم وقتي""",1.0,Feuil3
2020,رخصة القبض على عصفور الزيتون,,Feuil3
