date,nom_ar,nom_fr,unite,valeur
2026-04-14 10:00:00,L'humidité du sol,L'humidité du sol,mV,549.4
2026-04-14 10:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.6
2026-04-14 10:00:00,Température,Température,°C,19.2
2026-04-14 08:00:00,L'humidité du sol,L'humidité du sol,mV,549.1
2026-04-14 08:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.6
2026-04-14 08:00:00,Température,Température,°C,19.4
2026-04-14 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.6
2026-04-14 06:00:00,L'humidité du sol,L'humidité du sol,mV,549.4
2026-04-14 06:00:00,Température,Température,°C,19.6
2026-04-14 05:00:00,L'humidité du sol,L'humidité du sol,mV,549.4
2026-04-14 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.6
2026-04-14 05:00:00,Température,Température,°C,19.7
2026-04-14 04:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.6
2026-04-14 04:00:00,Température,Température,°C,19.7
2026-04-14 04:00:00,L'humidité du sol,L'humidité du sol,mV,549.3
2026-04-14 02:00:00,Température,Température,°C,19.8
2026-04-14 02:00:00,L'humidité du sol,L'humidité du sol,mV,549.4
2026-04-14 02:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.6
2026-04-14 00:00:00,Température,Température,°C,19.9
2026-04-14 00:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.6
2026-04-14 00:00:00,L'humidité du sol,L'humidité du sol,mV,549.4
2026-04-13 22:00:00,L'humidité du sol,L'humidité du sol,mV,549.5
2026-04-13 22:00:00,Température,Température,°C,19.9
2026-04-13 22:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.6
2026-04-13 20:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.6
2026-04-13 20:00:00,Température,Température,°C,19.8
2026-04-13 20:00:00,L'humidité du sol,L'humidité du sol,mV,549.7
2026-04-13 18:00:00,Température,Température,°C,19.7
2026-04-13 18:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.6
2026-04-13 18:00:00,L'humidité du sol,L'humidité du sol,mV,549.7
2026-04-13 16:00:00,L'humidité du sol,L'humidité du sol,mV,550.1
2026-04-13 16:00:00,Température,Température,°C,19.4
2026-04-13 16:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-04-13 14:00:00,L'humidité du sol,L'humidité du sol,mV,550.0
2026-04-13 14:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-04-13 14:00:00,Température,Température,°C,19.1
2026-04-13 12:00:00,L'humidité du sol,L'humidité du sol,mV,550.4
2026-04-13 12:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-04-13 12:00:00,Température,Température,°C,19.0
2026-04-13 10:00:00,L'humidité du sol,L'humidité du sol,mV,550.3
2026-04-13 10:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-04-13 10:00:00,Température,Température,°C,19.1
2026-04-13 08:00:00,L'humidité du sol,L'humidité du sol,mV,550.3
2026-04-13 08:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-04-13 08:00:00,Température,Température,°C,19.2
2026-04-12 14:00:00,L'humidité du sol,L'humidité du sol,mV,550.8
2026-04-12 14:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-04-12 14:00:00,Température,Température,°C,18.9
2026-04-12 12:00:00,L'humidité du sol,L'humidité du sol,mV,550.7
2026-04-12 12:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-04-12 12:00:00,Température,Température,°C,18.9
2026-04-12 10:00:00,L'humidité du sol,L'humidité du sol,mV,550.5
2026-04-12 10:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-04-12 10:00:00,Température,Température,°C,18.9
2026-04-12 08:00:00,L'humidité du sol,L'humidité du sol,mV,550.4
2026-04-12 08:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-04-12 08:00:00,Température,Température,°C,19.0
2026-04-12 06:00:00,L'humidité du sol,L'humidité du sol,mV,550.4
2026-04-12 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-04-12 06:00:00,Température,Température,°C,19.1
2026-04-12 05:00:00,L'humidité du sol,L'humidité du sol,mV,550.7
2026-04-12 05:00:00,Température,Température,°C,19.2
2026-04-12 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-04-12 04:00:00,L'humidité du sol,L'humidité du sol,mV,550.7
2026-04-12 04:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-04-12 04:00:00,Température,Température,°C,19.2
2026-04-12 02:00:00,L'humidité du sol,L'humidité du sol,mV,550.7
