date,nom_ar,nom_fr,unite,valeur
2026-04-18 21:00:00,Vitesse du vent,Vitesse du vent,m/s,1.88
2026-04-18 21:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,1.27
2026-04-18 21:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,984.8
2026-04-18 21:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2026-04-18 21:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,4.64
2026-04-18 21:00:00,Point de Rosée,Point de Rosée,°C,7.7
2026-04-18 21:00:00,Humidité relative,Humidité relative,%,49.2
2026-04-18 21:00:00,Température,Température,°C,18.6
2026-04-18 21:00:00,Direction du vent,Direction du vent,Deg,137.5
2026-04-18 19:00:00,Direction du vent,Direction du vent,Deg,51.4
2026-04-18 19:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,4.64
2026-04-18 19:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,1.27
2026-04-18 19:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,982.7
2026-04-18 19:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2026-04-18 19:00:00,Point de Rosée,Point de Rosée,°C,6.6
2026-04-18 19:00:00,Humidité relative,Humidité relative,%,34.8
2026-04-18 19:00:00,Température,Température,°C,23.0
2026-04-18 19:00:00,Vitesse du vent,Vitesse du vent,m/s,2.03
2026-04-18 17:00:00,Direction du vent,Direction du vent,Deg,44.9
2026-04-18 17:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,4.64
2026-04-18 17:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,1.27
2026-04-18 17:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,982.1
2026-04-18 17:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,313.0
2026-04-18 17:00:00,Point de Rosée,Point de Rosée,°C,5.3
2026-04-18 17:00:00,Humidité relative,Humidité relative,%,27.4
2026-04-18 17:00:00,Température,Température,°C,25.5
2026-04-18 17:00:00,Vitesse du vent,Vitesse du vent,m/s,3.25
2026-04-18 15:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,729.0
2026-04-18 15:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,4.64
2026-04-18 15:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,1.27
2026-04-18 15:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,982.5
2026-04-18 15:00:00,Point de Rosée,Point de Rosée,°C,6.4
2026-04-18 15:00:00,Humidité relative,Humidité relative,%,29.7
2026-04-18 15:00:00,Température,Température,°C,25.4
2026-04-18 15:00:00,Direction du vent,Direction du vent,Deg,316.4
2026-04-18 15:00:00,Vitesse du vent,Vitesse du vent,m/s,1.33
2026-04-18 13:00:00,Vitesse du vent,Vitesse du vent,m/s,3.45
2026-04-18 13:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,4.64
2026-04-18 13:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,1.27
2026-04-18 13:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,983.8
2026-04-18 13:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,935.0
2026-04-18 13:00:00,Point de Rosée,Point de Rosée,°C,5.7
2026-04-18 13:00:00,Humidité relative,Humidité relative,%,30.8
2026-04-18 13:00:00,Température,Température,°C,24.0
2026-04-18 13:00:00,Direction du vent,Direction du vent,Deg,65.2
2026-04-18 11:00:00,Direction du vent,Direction du vent,Deg,349.2
2026-04-18 11:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,4.64
2026-04-18 11:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,1.27
2026-04-18 11:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,984.6
2026-04-18 11:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,871.0
2026-04-18 11:00:00,Point de Rosée,Point de Rosée,°C,5.0
2026-04-18 11:00:00,Humidité relative,Humidité relative,%,32.1
2026-04-18 11:00:00,Température,Température,°C,22.4
2026-04-18 11:00:00,Vitesse du vent,Vitesse du vent,m/s,1.89
2026-04-18 09:00:00,Température,Température,°C,19.7
2026-04-18 09:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,4.64
2026-04-18 09:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,1.27
2026-04-18 09:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,984.6
2026-04-18 09:00:00,Vitesse du vent,Vitesse du vent,m/s,2.95
2026-04-18 09:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,577.0
2026-04-18 09:00:00,Point de Rosée,Point de Rosée,°C,5.0
2026-04-18 09:00:00,Humidité relative,Humidité relative,%,37.9
2026-04-18 09:00:00,Direction du vent,Direction du vent,Deg,342.3
2026-04-18 07:00:00,Point de Rosée,Point de Rosée,°C,6.8
2026-04-18 07:00:00,Vitesse du vent,Vitesse du vent,m/s,1.48
2026-04-18 07:00:00,Direction du vent,Direction du vent,Deg,307.6
2026-04-18 07:00:00,Température,Température,°C,16.0
2026-04-18 07:00:00,Humidité relative,Humidité relative,%,54.3
