composante,frequence_ar,frequence,source_ar,source,unite_ar,unite,composante_ar,images,feuille
Semence ordinaire orge,سنويا,ANNUELLE,وزارة الفلاحة و الموارد المائية و الصيد البحري,MARPH,دينار/قنطار,TND/q,بذور الشعير العادية,https://drive.google.com/file/d/1CkC28jOIqptSCVChJEsdbH3FHqJNCTcJ/view?usp=sharing,Feuil1
Semence sélectionnée blé dur,سنويا,ANNUELLE,وزارة الفلاحة و الموارد المائية و الصيد البحري,MARPH,دينار/قنطار,TND/q,بذور القمح الصلب الممتازة,https://drive.google.com/file/d/1L0ncTMrdSW_9DdbdmqW7yXecPkyZKuHZ/view?usp=sharing,Feuil1
Semence sélectionnée blé tendre,سنويا,ANNUELLE,وزارة الفلاحة و الموارد المائية و الصيد البحري,MARPH,دينار/قنطار,TND/q,بذور القمح اللين الممتازة,https://drive.google.com/file/d/1oVJemjEEIuQ52xbGuY17JzUV2s5L0k2X/view?usp=sharing,Feuil1
Semence sélectionnée orge,سنويا,ANNUELLE,وزارة الفلاحة و الموارد المائية و الصيد البحري,MARPH,دينار/قنطار,TND/q,بذور الشعير الممتازة,,Feuil1
Semence sélectionnée triticale,سنويا,ANNUELLE,وزارة الفلاحة و الموارد المائية و الصيد البحري,MARPH,دينار/قنطار,TND/q,بذور التريتيكال الممتازة,https://drive.google.com/file/d/11wdnuhw3TTBihkAXZtFetha3FAeyr8fy/view?usp=sharing,Feuil1
semence fève sélectionnée,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/5كلغ,TND/5kg,بذور الفول العادية,,Feuil1
Semence féverole selectionnée,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/5كلغ,TND/5kg,بذور الفول المصري الممتازة,https://drive.google.com/file/d/1j9lVRV3MLXLbr66HmfohiKRK_zQPHoI9/view?usp=sharing,Feuil1
semence petit pois sélectionnée,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/25كلغ,TND/25kg,بذور الجلبانة الممتازة,https://drive.google.com/file/d/1nH172DOckGiiBGe0LckTKulom-Of_y61/view?usp=sharing,Feuil1
Semence pomme de terre produites localement pour la culture d’arrière saison,سنويا,ANNUELLE,المجمع المهني للخضر,GIL,دينار/طن,TND/t,بذور البطاطا من الدرجة المثبتة المنتجة وطنيا للزراعة الاخر فصلية,https://drive.google.com/file/d/1942YInx8v-IhW93LKCxTCeKCvU5UUKJq/view?usp=sharing,Feuil1
Semence pomme de terre produites localement pour la culture de primeur et de saison pour producteurs,سنويا,ANNUELLE,المجمع المهني للخضر,GIL,دينار/طن,TND/t,بذور البطاطا من الدرجة المثبتة المنتجة وطنيا للزراعة البدرية و الفصلية للمنتجين,https://drive.google.com/file/d/1942YInx8v-IhW93LKCxTCeKCvU5UUKJq/view?usp=sharing,Feuil1
Semence pomme de terre importé,سنويا,ANNUELLE,المجمع المهني للخضر,GIL,دينار/طن,TND/t,بذور البطاطا الموردة,https://drive.google.com/file/d/1942YInx8v-IhW93LKCxTCeKCvU5UUKJq/view?usp=sharing,Feuil1
Semence grain oignon de saison,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/كلغ,TND/kg,بذور البصل الفصلي,https://drive.google.com/file/d/1eIwX4zIv8vGenrFloLKoyn7ipNRyoQLI/view?usp=sharing,Feuil1
Semence bulbe oignon d'arrière saison,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/كلغ,TND/kg,بذور البصل الاخر الفصلي (بصيلات),,Feuil1
semence carotte,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/كلغ,TND/kg,بذور السفنارية,,Feuil1
semence concombre,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/كلغ,TND/kg,بذور الفقوس,,Feuil1
