المعتمدية,2020,2021,2022,feuille
المهدية,18710,21373,19800,Feuil1
بومرداس,37320,35327,32700,Feuil1
أولاد الشامخ,1480,1563,1500,Feuil1
شربان,1865,3500,3100,Feuil1
هبيرة,1920,2450,2200,Feuil1
السواسي,14325,13440,12500,Feuil1
الجم,12460,12787,11800,Feuil1
الشابة,1040,1213,1100,Feuil1
ملولش,23050,23613,21900,Feuil1
سيدي علوان,12950,14467,13400,Feuil1
قصور الساف,9880,10267,10000,Feuil1
المجموع,135000,140000,130000,Feuil1
