mois_ar,الكمية_المبرمجة_2018_م3,الكميات_المباعة_2018_م3,feuille
جانفي,0,,كمية مبيعات مياه الريّ 2018
فيفري,0,,كمية مبيعات مياه الريّ 2018
مارس,0,,كمية مبيعات مياه الريّ 2018
أفريل,1000000,428571.0,كمية مبيعات مياه الريّ 2018
ماي,1500000,971795.0,كمية مبيعات مياه الريّ 2018
جوان,2000000,1229066.0,كمية مبيعات مياه الريّ 2018
جويلية,2500000,2427355.0,كمية مبيعات مياه الريّ 2018
أوت,1000000,817758.0,كمية مبيعات مياه الريّ 2018
سبتمبر,1000000,688243.0,كمية مبيعات مياه الريّ 2018
أكتوبر,0,150131.0,كمية مبيعات مياه الريّ 2018
نوفمبر,0,,كمية مبيعات مياه الريّ 2018
ديسمبر,0,,كمية مبيعات مياه الريّ 2018
