unnamed_0,feuille,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12,unnamed_13,unnamed_14,unnamed_15,توزيع_المشاريع_الفلاحية_من_صنفي_ب_وج_حسب_القطاع,الموشرات,المنجزة,في_طور_الانجاز,indicateurs
,S-Agri,,,,,,,,,,,,,,,,,,,,
الفلاحة,S-Agri,,,,,,,,,,,,,,,,,,,,
Agriculture,S-Agri,,,,,,,,,,,,,,,,,,,,
,Agric1,تطور استغلال البحيرات الجبلية,,,,,,,,,,,,,,,,,,,
,Agric1,Evolution de l'exploitation des Lacs Collinaires,,,,,,,,,,,,,,,,,,,
,Agric1,المعتمدية,عدد البحيرات,,,طاقة الخزن (ألف متر مكعب),,,المخزون الحالي (ألف متر مكعب),,,الكمية المستغلة,,,DELEGATION,Code-Géographique,,,,,
,Agric1,,Nbre de lacs,,,Capacité de rétention (mille m3),,,Reserve (mille m3),,,Exploitation (mille m3),,,,,,,,,
,Agric1,,2015,2016.0,2017.0,2015,2017.0,2017.0,2015,2016.0,2017.0,2015,2016.0,2017.0,,,,,,,
,Agric1,زغوان,19,19.0,19.0,2.029,2.029,2.029,0.21,1.032,0.11565,,,0.11,Zaghouan,1651,,,,,
,Agric1,الزريبة,9,9.0,9.0,1.17,1.17,1.17,0.065,0.514,0.07,,,0.02,Zriba,1652,,,,,
,Agric1,بئر مشارقة,6,6.0,6.0,0.775,0.775,0.775,0.12,0.282,0.06,,,0.015,Bir Mchergua,1653,,,,,
,Agric1,الفحص,44,44.0,44.0,4.7,4.7,4.7,0.325,1.487,0.282,,,0.16,Fahs,1654,,,,,
,Agric1,الناظور,16,16.0,16.0,1.474,1.474,1.474,0.11,0.6,0.043,,,0.02,Nadhour,1655,,,,,
,Agric1,صواف,21,21.0,21.0,1.478,1.478,1.478,0.09,0.431,0.063,,,0.04,Saouaf,1656,,,,,
,Agric1,المجموع,115,115.0,115.0,11.626,11.626,11.626,0.9199999999999999,4.346,0.63365,,,0.36500000000000005,TOTAL,,,,,,
,Agric1,المصدر: المندوبية الجهوية للتنمية الفلاحية,,,,,,,,,,,,,,Source : Commissariat Régional au Développement Agricole,,,,,
,Agric2,,,,,,,,,,,,,,,,,,,,
تطور استغلال السدود الكبرى و السدود الجبلية,Agric2,,,,,,,,,,,,,,,,,,,,
Evolution de l'exploitation des grands barrages et des barrages colliniaires,Agric2,,,,,,,,,,,,,,,,,,,,
المعتمدية,Agric2,عدد السدود الكبرى و السدود الجبلية,,,طاقة الخزن (ألف متر مكعب),,,الكمية المخزنة (ألف متر مكعب),,,الكمية المستغلة**,,,DELEGATION,Code-Géographique,,,,,,
,Agric2,Nbre de barrages et barrages colliniaires,,,Capacité de rétention (mille m3),,,Reserve (mille m3),,,Exploitation,,,,,,,,,,
,Agric2,2015,2016.0,2017.0,2015,2016.0,2017.0,2015,2016,2017.0,2016**,2017.0,2018.0,,,,,,,,
زغوان,Agric2,3,3.0,3.0,3910,3910.0,3910.0,0.95,3210,1410.0,,320.0,,Zaghouan,1651,,,,,,
الزريبة,Agric2,1,1.0,1.0,22000,22000.0,22000.0,500,*,8330.0,,250.0,,Zriba,1652,,,,,,
