annee,delegation,nombre_de_silos_secteur_public,nombre_de_silos_secteur_prive,capacite_de_stockage_secteur_public_quintal,capacite_de_stockage_secteur_prive_quintal,quantite_collectee_quintal,feuille
2024,باجة الشمالية,3,11,1100000.0,1715000.0,655692.8,Feuil1
2024,باجة الجنوبية,0,6,,,184597.6,Feuil1
2024,مجاز الباب,3,6,,,235873.6,Feuil1
2024,قبلاط,2,0,,,56140.6,Feuil1
2024,تستور,1,3,,,102655.4,Feuil1
2024,تبرسق,1,5,,,188376.4,Feuil1
2024,تيبار,0,0,,,0.0,Feuil1
2024,عمدون,1,2,,,160906.1,Feuil1
2024,نفزة,1,1,,,53567.6,Feuil1
2024,كامل الولاية,12,34,2815000.0,,1637810.1,Feuil1
