annee,delegation,nombre_de_perimetres_irrigues_publics,superficie_de_perimetres_irrigues_publics_ha,nombre_de_zone_dirrigation_de_complement,superficie_avec_irrigation_de_complement_ha,superficie_de_perimetres_irrigues_prives_ha,feuille
2024,قفصة الجنوبية,3.0,1436,0.0,0.0,1240.0,Feuil1
2024,القصر,3.0,1395,1.0,35.0,1350.0,Feuil1
2024,قفصة الشمالية,6.0,293,6.0,495.0,4720.0,Feuil1
2024,القطار,6.0,707,1.0,100.0,565.0,Feuil1
2024,سيدي عيش,10.0,436,2.0,200.0,6400.0,Feuil1
2024,أم العرائس,15.0,916,2.0,150.0,1320.0,Feuil1
2024,سيدي بوبكر,4.0,293,,,390.0,Feuil1
2024,المتلوي,4.0,220,3.0,220.0,520.0,Feuil1
2024,الرديف,10.0,651,3.0,135.0,1220.0,Feuil1
2024,السند,5.0,270,,,1300.0,Feuil1
2024,زانوش,5.0,282,1.0,50.0,2034.0,Feuil1
2024,بلخير,3.0,167,3.0,300.0,375.0,Feuil1
2024,كامل الولاية,74.0,7066,22.0,1685.0,21434.0,Feuil1
2024,المساحة الجملية,,30185,,,,Feuil1
