delegation,delegation_ar,nombre_des_smsa,feuille
Mahdia,المهدية,6.0,Feuil1
REJICHE *,الرجيش *,,Feuil1
Bou Merdes,بومرداس,1.0,Feuil1
Ouled Chamekh,أولاد الشامخ,1.0,Feuil1
Chorbane,شربان,2.0,Feuil1
Hbira,هبيرة,1.0,Feuil1
Essouassi,السواسي,1.0,Feuil1
El Jem,الجم,1.0,Feuil1
Chebba,الشابة,,Feuil1
Melloulech,ملولش,2.0,Feuil1
Sidi Alouane,سيدي علوان,,Feuil1
Ksour Essaf,قصور الساف,1.0,Feuil1
EL BERADAA *,البرادعة *,,Feuil1
Total,المجموع,16.0,Feuil1
