campagne_agricole,production_amande_biologique_tonne,feuille
2013/2014,16,Feuil1
2014/2015,31,Feuil1
2015/2016,2,Feuil1
2016/2017,13,Feuil1
2017/2018,11,Feuil1
2018/2019,7,Feuil1
2019/2020,6,Feuil1
2020/2021,7,Feuil1
2021/2022,6,Feuil1
2022/2023,3,Feuil1
2023/2024,3,Feuil1
