annee,delegation,superficie_cereales_en_pluvial_ha,feuille
2013,القيروان الشمالية,5530.0,مساحات الزراعات الكبرى المطرية
2013,القيروان الجنوبية,5550.0,مساحات الزراعات الكبرى المطرية
2013,السبيخة,26760.0,مساحات الزراعات الكبرى المطرية
2013,الوسلاتية,22800.0,مساحات الزراعات الكبرى المطرية
2013,الشبيكة,7000.0,مساحات الزراعات الكبرى المطرية
2013,حفوز,6218.0,مساحات الزراعات الكبرى المطرية
2013,العلا,5600.0,مساحات الزراعات الكبرى المطرية
2013,حاجب العيون,3100.0,مساحات الزراعات الكبرى المطرية
2013,عين جلولة,,مساحات الزراعات الكبرى المطرية
2013,نصرالله,2350.0,مساحات الزراعات الكبرى المطرية
2013,منزل المهيري,,مساحات الزراعات الكبرى المطرية
2013,بوحجلة,5400.0,مساحات الزراعات الكبرى المطرية
2013,الشراردة,1750.0,مساحات الزراعات الكبرى المطرية
2013,المجمــوع,92058.0,مساحات الزراعات الكبرى المطرية
2014,القيروان الشمالية,5500.0,مساحات الزراعات الكبرى المطرية
2014,القيروان الجنوبية,7280.0,مساحات الزراعات الكبرى المطرية
2014,السبيخة,30610.0,مساحات الزراعات الكبرى المطرية
2014,الوسلاتية,21560.0,مساحات الزراعات الكبرى المطرية
2014,الشبيكة,9780.0,مساحات الزراعات الكبرى المطرية
2014,حفوز,6015.0,مساحات الزراعات الكبرى المطرية
2014,العلا,4480.0,مساحات الزراعات الكبرى المطرية
2014,حاجب العيون,4500.0,مساحات الزراعات الكبرى المطرية
2014,عين جلولة,,مساحات الزراعات الكبرى المطرية
2014,نصرالله,6500.0,مساحات الزراعات الكبرى المطرية
2014,منزل المهيري,,مساحات الزراعات الكبرى المطرية
2014,بوحجلة,8700.0,مساحات الزراعات الكبرى المطرية
2014,الشراردة,2800.0,مساحات الزراعات الكبرى المطرية
2014,المجمــوع,107725.0,مساحات الزراعات الكبرى المطرية
2015,القيروان الشمالية,,مساحات الزراعات الكبرى المطرية
2015,القيروان الجنوبية,,مساحات الزراعات الكبرى المطرية
2015,السبيخة,,مساحات الزراعات الكبرى المطرية
2015,الوسلاتية,5400.0,مساحات الزراعات الكبرى المطرية
2015,الشبيكة,,مساحات الزراعات الكبرى المطرية
2015,حفوز,,مساحات الزراعات الكبرى المطرية
2015,العلا,,مساحات الزراعات الكبرى المطرية
2015,حاجب العيون,,مساحات الزراعات الكبرى المطرية
2015,عين جلولة,,مساحات الزراعات الكبرى المطرية
2015,نصرالله,,مساحات الزراعات الكبرى المطرية
2015,منزل المهيري,,مساحات الزراعات الكبرى المطرية
2015,بوحجلة,,مساحات الزراعات الكبرى المطرية
2015,الشراردة,,مساحات الزراعات الكبرى المطرية
2015,المجمــوع,5400.0,مساحات الزراعات الكبرى المطرية
2016,القيروان الشمالية,40.0,مساحات الزراعات الكبرى المطرية
2016,القيروان الجنوبية,,مساحات الزراعات الكبرى المطرية
2016,السبيخة,,مساحات الزراعات الكبرى المطرية
2016,الوسلاتية,5000.0,مساحات الزراعات الكبرى المطرية
2016,الشبيكة,,مساحات الزراعات الكبرى المطرية
2016,حفوز,,مساحات الزراعات الكبرى المطرية
2016,العلا,,مساحات الزراعات الكبرى المطرية
2016,حاجب العيون,,مساحات الزراعات الكبرى المطرية
2016,عين جلولة,,مساحات الزراعات الكبرى المطرية
2016,نصرالله,,مساحات الزراعات الكبرى المطرية
2016,منزل المهيري,,مساحات الزراعات الكبرى المطرية
2016,بوحجلة,,مساحات الزراعات الكبرى المطرية
2016,الشراردة,,مساحات الزراعات الكبرى المطرية
2016,المجمــوع,5040.0,مساحات الزراعات الكبرى المطرية
2017,القيروان الشمالية,5800.0,مساحات الزراعات الكبرى المطرية
