gouvernorat,unitee,jounees_de_formations_et_visites_d_etudes_en_tunisie_realises_2020,feuille
Beja,PJ,102,Feuil1
Jendouba,PJ,127,Feuil1
Bizerte,PJ,13,Feuil1
Kef,PJ,90,Feuil1
Siliana,PJ,58,Feuil1
Total,,390,Feuil1
