commune,eau_potable,eau_irrigation,mixte
القيروان الشمالية,2,2.0,
القيروان الجنوبية,5,7.0,1.0
السبيخة,31,10.0,
الوسلاتية,13,3.0,
الشبيكة,5,14.0,2.0
حفوز,25,9.0,
العلا,7,,
الحاجب,13,12.0,3.0
عين جلولة,5,2.0,
نصر الله,11,1.0,
منزل المهيري,3,8.0,
بوحجلة,7,9.0,
الشراردة,2,1.0,
