annee,source_financement,nombre_beneficiare,valeur_investissement_md,valeur_subvention_md,feuille
2024,الصندوق الخاص للتنمية الفلاحية والصيد البحري (FOSDA),118.0,1928.0,852,Feuil1
2024,صندوق النهوض بقطاع الزياتين,0.0,0.0,0,Feuil1
2024,صندوق تنمية القدرة التنافسية في الصيد البحري,0.0,0.0,0,Feuil1
2024,صندوق تمويل الراحة البيولوجية في قطاع الصيد البحري,,,2538,Feuil1
2024,البنك التونسي للتضامن,2.0,20.0,6,Feuil1
