gouvernorat,2020_2019,2019_2018,2018_2017,2017_2016,2016_2017,2014_2015,2013_2014,2012_2013,2011_2012,2010_2011,2009_2010,feuille
tunis,48.5,48.5,60,60,40,60,50.0,,,50.0,,production en tonne
manouba,4900.0,4975.0,5150,6000,5100,5200,4735.0,4500.0,4400.0,4000.0,3800.0,production en tonne
ariana,3405.0,5060.0,5001,5090,3470,6660,5940.0,5197.0,4725.0,4110.0,3700.0,production en tonne
benarous,26000.0,33250.0,23600,31870,25335,33150,32680.0,32870.0,31860.0,35600.0,32185.0,production en tonne
nabeul,267400.0,330000.0,255000,450000,284100,321700,255000.0,240000.0,266000.0,258000.0,228210.0,production en tonne
bizerte,18000.0,20000.0,18000,20000,22655,22420,21100.0,16140.0,22400.0,21900.0,18400.0,production en tonne
beja,8500.0,7800.0,5000,7000,6500,5500,5000.0,4500.0,4000.0,3900.0,2750.0,production en tonne
jendouba,8553.0,9049.0,10865,13650,12240,12220,13110.0,11695.0,11150.0,8615.0,8500.0,production en tonne
kef,55.0,47.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,production en tonne
siliana,386.0,402.0,499,600,660,500,500.0,,,,,production en tonne
zaghouan,2200.0,1894.0,1728,1630,1500,845,590.0,488.0,430.0,258.0,328.0,production en tonne
sousse,300.0,560.0,638,728,640,887,780.0,572.0,594.0,562.0,395.0,production en tonne
monastir,287.0,271.305,100,187,189,200,191.0,206.0,189.0,168.0,168.0,production en tonne
mahdia,,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,production en tonne
sfax,,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,production en tonne
kairouan,14820.0,16700.0,12400,14700,11700,15300,13200.0,12000.0,12500.0,13000.0,8000.0,production en tonne
kasserine,,0.0,0,0,0,0,0.0,0.0,0.0,0.0,,production en tonne
sidi bouzid,6335.0,6353.5,4284,4750,1200,3053,1027.0,804.0,657.0,581.0,492.5,production en tonne
gafsa,1980.0,1980.0,2000,2000,2000,2000,900.0,,,,,production en tonne
tozeur,808.0,650.0,395,395,280,270,185.0,,,,,production en tonne
kebilli,,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,production en tonne
gabes,2240.0,1300.0,1000,800,900,900,800.0,,,,,production en tonne
medenine,200.0,180.0,160,160,150,160,,,,,,production en tonne
tataouine,,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,production en tonne
