نوع,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,feuille
تفاح,110.0,126.0,128.0,111.0,120.0,121.5,90.0,126.0,98.3,145.0,116.0,153.3,Feuil1
اجاص,60.0,66.0,61.0,62.0,48.0,17.0,24.5,17.0,19.5,12.8,21.0,21.1,Feuil1
سفرجل,2.5,2.6,3.3,3.0,3.0,3.5,4.8,4.7,3.2,3.3,3.5,3.7,Feuil1
بوصاع+حب ملوك,4.9,5.5,7.0,5.3,5.3,4.0,8.0,8.1,7.3,8.9,9.0,10.5,Feuil1
خوخ,118.0,114.0,123.0,128.0,127.0,138.0,138.0,123.0,117.0,121.0,140.0,146.5,Feuil1
العوينة,13.0,12.0,12.0,12.0,10.5,13.0,14.5,15.5,13.6,14.0,19.0,20.0,Feuil1
التين,28.0,26.0,26.0,25.0,23.5,27.0,30.0,15.3,25.8,27.4,27.0,19.6,Feuil1
الرمان,75.0,77.0,72.0,73.5,67.0,77.0,78.0,81.0,74.5,74.7,98.0,105.5,Feuil1
زيتون المائدة,18.0,20.0,20.0,24.0,25.0,137.0,24.0,21.0,20.0,28.0,23.0,36.0,Feuil1
الفستق,2.5,2.3,2.1,1.4,2.1,2.5,3.0,3.4,3.1,3.6,4.0,5.0,Feuil1
