المعتمدية,المحترثة_هك,المراعي_هك,الغابات_هك,البحيرات_هك,غير_صالحة_للزراعة_هك,feuille
بنزرت الشمالية,700.0,440.0,1334.0,9,2172.0,Feuil1
بنزرت الجنوبية,21669.0,2280.0,14647.0,671,1540.0,Feuil1
جرزونة,8.0,30.0,10.0,,574.0,Feuil1
منزل جميل,4000.0,304.0,3527.0,,900.0,Feuil1
منزل بورقيبة,9600.0,400.0,7.0,35,1425.0,Feuil1
تينجة,2706.0,540.0,2237.0,8515,490.0,Feuil1
ماطر,42019.0,2260.0,8646.0,337,1750.0,Feuil1
غزالة,25835.0,2370.0,13172.0,1606,2513.0,Feuil1
جومين,42130.0,2530.0,8857.0,,1000.0,Feuil1
سجنان,5000.0,10142.0,40021.0,,4700.0,Feuil1
العالية,6800.0,85.0,820.0,,207.0,Feuil1
رأس الجبل,6687.0,330.0,1281.0,,148.0,Feuil1
غار الملح,7159.0,50.0,1621.0,3894,254.0,Feuil1
أوتيك,33280.0,450.0,2955.0,18,910.0,Feuil1
بحيرة بنزرت,,,,12215,,Feuil1
