annee,delegation,lait_bovin_tonne,lait_caprin_tonne,viandes_bovin_tonne,viandes_ovin_tonne,viandes_caprin_tonne,viandes_camelin_tonne,viandes_volailles_tonne,viandes_cunicoles_tonne,œufs_milliers,miel,laine,cuir,feuille
2021,Tozeur,957.0,125,19.0,212,48,14,,22,,10.0,10,24,Feuil1
2021,Dgueche,207.0,315,4.0,356,122,4,60.75,17,,2.0,18,,Feuil1
2021,Tamaghza,,348,,394,134,22,,4,,2.5,20,,Feuil1
2021,Nefta,806.0,174,16.0,182,67,47,4.896,17,,0.5,9,8,Feuil1
2021,Hazoua,,117,,94,45,38,,5,,,5,,Feuil1
2021,Hammet El Djérid,,120,,162,46,1,,5,,,8,,Feuil1
2021,Total,1970.0,1199,39.0,1400,462,126,65.646,70,0,15.0,70,32,Feuil1
2022,Tozeur,894.0,177,16.88,204,78,20,,26,,9.5,11,26,Feuil1
2022,Dgueche,463.0,340,10.218,500,139,10,30,14,,2.0,18,,Feuil1
2022,Tamaghza,,314,,284,115,24,,7,,5.5,16,,Feuil1
2022,Nefta,698.0,150,12.802,170,54,46,10,6,,,10,6,Feuil1
2022,Hazoua,,96,,95,36,30,,2,,,5,,Feuil1
2022,Hammet El Djérid,45.0,123,1.1,157,44,2,,5,,,10,,Feuil1
2022,Total,2100.0,1200,41.0,1410,466,132,40,60,0,17.0,70,32,Feuil1
2023,Tozeur,1448.0,177,20.0,200,78,20,,24,,8.0,11,26,Feuil1
2023,Degache,313.0,340,14.0,500,140,10,27,13,,2.0,18,,Feuil1
2023,Tamaghza,,314,,280,117,24,,6,,3.0,16,,Feuil1
2023,Nefta,743.0,150,14.0,170,54,46,,6,,,10,6,Feuil1
2023,Hezoua,,96,,95,36,30,,2,,,5,,Feuil1
2023,Hammet eljerid,56.0,123,20.0,155,45,2,,4,,,10,,Feuil1
2023,Total,2560.0,1200,68.0,1400,470,132,27,55,0,13.0,70,32,Feuil1
2024,Tozeur,1520.0,200,40.0,220,100,20,0,24,0,14.0,11,25,Feuil1
2024,Degache,267.0,330,20.0,400,160,10,0,13,0,2.0,18,0,Feuil1
2024,Tamaghza,0.0,310,30.0,280,120,24,0,6,0,2.0,16,0,Feuil1
2024,Nefta,895.0,200,0.0,110,70,46,4,6,2160,0.0,10,0,Feuil1
2024,Hezoua,0.0,160,0.0,30,40,30,0,2,0,0.0,5,0,Feuil1
2024,Hammet eljerid,38.0,150,10.0,110,50,2,0,4,0,0.0,10,5,Feuil1
2024,Total,2720.0,1350,100.0,1150,540,132,4,55,2160,18.0,70,30,Feuil1
