السنة,المعتمدية,ابقار_انثى,اغنام_انثى,ماعز_انثى,الابل_راس,feuille
2022,المهدية,4200,19430,760,24,Feuil1
2022,بومرداس,6940,30120,1390,14,Feuil1
2022,أولاد الشامخ,300,39830,2420,10,Feuil1
2022,شربان,650,30430,2310,6,Feuil1
2022,هبيرة,460,24660,1810,26,Feuil1
2022,السواسي,2640,37410,3670,14,Feuil1
2022,الجم,2500,27260,620,91,Feuil1
2022,الشابة,230,10540,320,0,Feuil1
2022,ملولش,4640,18750,320,15,Feuil1
2022,سيدي علوان,2840,23210,920,0,Feuil1
2022,قصور الساف,2100,18360,460,0,Feuil1
