gouvernorat,nbr_delegation,nbr_municipalite,nbr_secteur,nbr_conseil_de_village,sup_km2,nbr_habitant,habitant_km2,population_active_occupee,population_active_occupee_agriculture,nbr_abonnement_internet_fixe,nbr_centre_formation_agricole,taux_global_desserte_eau_potable,taux_branchement_onas,feuille
tataouine,8,7,64,5.0,38889,150830,4,35435,9.11,8800,3.0,99.6,67.8,donnee generales 2018
medenine,9,10,94,7.0,9167,510547,56,128344,7.29,40800,2.0,99.8,29.9,donnee generales 2018
gabes,11,16,73,9.0,7166,398024,56,92613,13.28,27600,2.0,98.2,86.4,donnee generales 2018
kebili,7,9,43,7.0,22454,167208,7,46582,34.4,13100,1.0,99.9,63.6,donnee generales 2018
tozeur,6,6,36,4.0,5593,113985,20,29938,21.37,7200,1.0,99.9,88.1,donnee generales 2018
gafsa,13,13,76,9.0,7807,350394,45,78329,20.26,25700,1.0,99.9,71.8,donnee generales 2018
tunisie,274,350,2085,,163610,11608311,71,3497758,14.49,1062900,,98.1,86.2,donnee generales 2018
