nom,lat,lon,delegation
Ben Ammar,36.9139838128447,10.1050555836639,Sidi thabet
Andoulsi,37.0435796261796,10.0936496362067,Kalaat Andalous
hsin bou hsin,36.8698636653834,10.1152965853191,Mnihla
SOHEX,36.8755030120605,10.0040987334217,Sidi thabet
Boubaker ( haj chadli),37.0644993669856,10.1203605009116,Kalaat Andalous
Ben Sassi,36.91776347659609,10.1334205164299,Raoued
